"排名","代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","一個月走勢圖","三個月走勢圖","一年走勢圖","三年走勢圖"
"1",="8429","金麗-KY","市","10/12","","10.05","+0.05","+0.5","100","1","10","10.1","10.1","9.99","1.1","","0.31","    ","    ","    ","    "
"2",="5907","大洋-KY","市","10/12","","12.55","+0.1","+0.8","86","1.08","12.45","12.35","12.65","12.25","3.21","","0.37","    ","    ","    ","    "
"3",="3673","TPK-KY","市","10/12","","34.5","+0.45","+1.32","590","20.3","34.05","34","34.55","34","1.62","37.1","0.38","    ","    ","    ","    "
"4",="1340","勝悅-KY","市","10/12","","11.75","-0.05","-0.42","71","0.83","11.8","11.7","11.75","11.65","0.85","","0.42","    ","    ","    ","    "
"5",="1337","再生-KY","市","10/12","","7.17","-0.02","-0.28","317","2.27","7.19","7.24","7.24","7.12","1.67","","0.42","    ","    ","    ","    "
"6",="2506","太設","市","10/12","","9.08","+0.03","+0.33","92","0.84","9.05","9.14","9.14","9.05","0.99","","0.45","    ","    ","    ","    "
"7",="2362","藍天","市","10/12","","32","+0.2","+0.63","308","9.84","31.8","31.85","32.05","31.65","1.26","23.4","0.46","    ","    ","    ","    "
"8",="1906","寶隆","市","10/12","","15.65","0","0","55","0.85","15.65","15.6","15.65","15.5","0.96","38.2","0.46","    ","    ","    ","    "
"9",="2929","淘帝-KY","市","10/12","","11.95","+0.15","+1.27","141","1.67","11.8","11.85","11.95","11.8","1.27","9.19","0.46","    ","    ","    ","    "
"10",="1314","中石化","市","10/12","","9.6","+0.26","+2.78","12,774","122","9.34","9.45","9.63","9.42","2.25","","0.47","    ","    ","    ","    "
"11",="1718","中纖","市","10/12","","7.94","0","0","1,952","15.5","7.94","7.97","7.99","7.93","0.76","","0.49","    ","    ","    ","    "
"12",="1312","國喬","市","10/12","","16.55","+0.35","+2.16","1,011","16.6","16.2","16.35","16.55","16.25","1.85","","0.49","    ","    ","    ","    "
"13",="8488","吉源-KY","市","10/12","","17.4","-0.2","-1.14","6","0.1","17.6","17.4","17.45","17.4","0.28","","0.5","    ","    ","    ","    "
"14",="3481","群創","市","10/12","","12.55","+0.3","+2.45","39,393","492","12.25","12.35","12.6","12.25","2.86","","0.5","    ","    ","    ","    "
"15",="5512","力麒","櫃","10/12","","9.2","-0.05","-0.54","2,362","21.8","9.25","9.16","9.29","9.15","1.51","","0.51","    ","    ","    ","    "
"16",="3252","海灣","櫃","10/12","","20.25","+0.15","+0.75","116","2.35","20.1","20.4","20.4","20.15","1.24","","0.51","    ","    ","    ","    "
"17",="2514","龍邦","市","10/12","","15.85","+0.05","+0.32","203","3.23","15.8","15.9","15.95","15.8","0.95","12.1","0.52","    ","    ","    ","    "
"18",="1338","廣華-KY","市","10/12","","37.8","+0.9","+2.44","184","6.9","36.9","37.2","38.7","36.2","6.78","","0.52","    ","    ","    ","    "
"19",="1103","嘉泥","市","10/12","","18.35","0","0","444","8.13","18.35","18.3","18.45","18.15","1.63","34.6","0.52","    ","    ","    ","    "
"20",="1416","廣豐","市","10/12","","10.4","+0.1","+0.97","109","1.13","10.3","10.35","10.45","10.25","1.94","","0.53","    ","    ","    ","    "
"21",="2603","長榮","市","10/12","","106","+2.5","+2.42","12,874","1,347","103.5","102.5","106","102.5","3.38","1.59","0.54","    ","    ","    ","    "
"22",="1451","年興","市","10/12","","18.75","-0.05","-0.27","73","1.36","18.8","18.8","18.8","18.7","0.53","","0.54","    ","    ","    ","    "
"23",="2609","陽明","市","10/12","","43.1","+0.55","+1.29","8,555","366","42.55","42.55","43.1","42.4","1.65","2.21","0.54","    ","    ","    ","    "
"24",="8411","福貞-KY","市","10/12","","14.2","+0.05","+0.35","21","0.3","14.15","14.1","14.2","14.1","0.71","","0.55","    ","    ","    ","    "
"25",="2104","國際中橡","市","10/12","","20.05","+0.25","+1.26","1,075","21.4","19.8","19.9","20.05","19.8","1.26","154","0.56","    ","    ","    ","    "
"26",="8354","冠好","櫃","10/12","","14.25","+0.05","+0.35","21","0.3","14.5","14.25","14.3","14.2","0.7","24.6","0.57","    ","    ","    ","    "
"27",="2537","聯上發","市","10/12","","7.75","+0.01","+0.13","723","5.6","7.74","7.82","7.82","7.7","1.55","","0.57","    ","    ","    ","    "
"28",="9944","新麗","市","10/12","","19.65","-0.05","-0.25","106","2.07","19.7","19.6","19.7","19.55","0.76","5.31","0.59","    ","    ","    ","    "
"29",="5533","皇鼎","市","10/12","","19.8","-0.1","-0.5","164","3.26","19.9","19.9","19.95","19.75","1.01","7","0.61","    ","    ","    ","    "
"30",="2867","三商壽","市","10/12","","5.08","+0.01","+0.2","1,686","8.58","5.07","5.07","5.1","5.07","0.59","","0.61","    ","    ","    ","    "
"31",="2615","萬海","市","10/12","","45.65","+0.4","+0.88","3,734","170","45.25","45.35","45.85","44.95","1.99","7.17","0.61","    ","    ","    ","    "
"32",="2888","新光金","市","10/12","","9.2","+0.04","+0.44","39,908","366","9.16","9.19","9.23","9.1","1.42","","0.61","    ","    ","    ","    "
"33",="2527","宏璟","市","10/12","","22.7","-0.1","-0.44","133","3.02","22.8","23","23","22.65","1.54","59.7","0.62","    ","    ","    ","    "
"34",="2534","宏盛","市","10/12","","18.9","+0.05","+0.27","228","4.31","18.85","18.9","19","18.85","0.8","5.51","0.62","    ","    ","    ","    "
"35",="4430","耀億","櫃","10/12","","21.4","-0.1","-0.47","29","0.63","21.5","21.5","21.5","21.4","0.47","","0.62","    ","    ","    ","    "
"36",="1315","達新","市","10/12","","71.5","+0.2","+0.28","17","1.21","71.3","71.3","71.5","71","0.7","8.71","0.62","    ","    ","    ","    "
"37",="2062","橋椿","市","10/12","","22.15","+0.05","+0.23","109","2.42","22.1","21.95","22.2","21.95","1.13","13.8","0.63","    ","    ","    ","    "
"38",="3714","富采","市","10/12","","43.8","+0.15","+0.34","1,248","54.8","43.65","44","44.05","43.65","0.92","","0.63","    ","    ","    ","    "
"39",="3015","全漢","市","10/12","","49.85","+0.4","+0.81","243","12.1","49.45","49.25","50","49.25","1.52","14.2","0.64","    ","    ","    ","    "
"40",="6405","悅城","市","10/12","","24.6","-0.1","-0.4","218","5.39","24.7","24.7","24.9","24.5","1.62","","0.64","    ","    ","    ","    "
"41",="2107","厚生","市","10/12","","23.05","+0.15","+0.66","276","6.33","22.9","23","23.05","22.85","0.87","12.3","0.64","    ","    ","    ","    "
"42",="2701","萬企","市","10/12","","12.3","0","0","373","4.59","12.3","12.4","12.45","12.25","1.63","29.3","0.65","    ","    ","    ","    "
"43",="2524","京城","市","10/12","","30.7","-0.05","-0.16","52","1.61","30.75","31","31.05","30.65","1.3","16.3","0.65","    ","    ","    ","    "
"44",="2239","英利-KY","市","10/12","","57.9","-0.3","-0.52","56","3.25","58.2","58.3","58.3","57.6","1.2","28.1","0.66","    ","    ","    ","    "
"45",="2601","益航","市","10/12","","8.3","0","0","1,457","12.1","8.3","8.31","8.33","8.28","0.6","","0.66","    ","    ","    ","    "
"46",="2852","第一保","市","10/12","","17.15","+0.3","+1.78","664","11.3","16.85","17","17.15","16.85","1.78","9.22","0.66","    ","    ","    ","    "
"47",="1447","力鵬","市","10/12","","7.39","-0.02","-0.27","459","3.4","7.41","7.41","7.42","7.36","0.81","","0.66","    ","    ","    ","    "
"48",="1589","永冠-KY","市","10/12","","50.3","-0.6","-1.18","875","44.1","50.9","50.9","51.1","50.1","1.96","","0.67","    ","    ","    ","    "
"49",="6456","GIS-KY","市","10/12","","59.5","+1.3","+2.23","482","28.5","58.2","58.5","59.5","58.5","1.72","16.4","0.67","    ","    ","    ","    "
"50",="1806","冠軍","市","10/12","","9.22","+0.05","+0.55","245","2.26","9.17","9.17","9.27","9.17","1.09","","0.67","    ","    ","    ","    "
"51",="1531","高林股","市","10/12","","13.2","+0.1","+0.76","20","0.26","13.1","13.15","13.2","13.15","0.38","660","0.68","    ","    ","    ","    "
"52",="2705","六福","市","10/12","","17.05","+0.15","+0.89","400","6.79","16.9","16.9","17.05","16.9","0.89","","0.68","    ","    ","    ","    "
"53",="1714","和桐","市","10/12","","8.33","+0.02","+0.24","686","5.71","8.31","8.3","8.35","8.3","0.6","18.9","0.69","    ","    ","    ","    "
"54",="2511","太子","市","10/12","","10.75","0","0","590","6.32","10.75","10.7","10.75","10.65","0.93","19.9","0.69","    ","    ","    ","    "
"55",="3543","州巧","市","10/12","","20.7","+0.2","+0.98","26","0.54","20.5","20.5","20.75","20.5","1.22","73.9","0.69","    ","    ","    ","    "
"56",="8110","華東","市","10/12","","13.6","+0.25","+1.87","702","9.52","13.35","13.4","13.65","13.4","1.87","21.2","0.69","    ","    ","    ","    "
"57",="5481","新華","櫃","10/12","","13.2","0","0","31","0.41","13.2","13.2","13.2","13.05","1.14","","0.69","    ","    ","    ","    "
"58",="3615","安可","櫃","10/12","","23.1","+0.4","+1.76","603","13.9","22.7","22.8","23.3","22.8","2.2","38.5","0.7","    ","    ","    ","    "
"59",="2915","潤泰全","市","10/12","","59.2","+0.7","+1.2","1,217","72.1","58.5","58.8","59.5","58.8","1.2","9.37","0.7","    ","    ","    ","    "
"60",="2489","瑞軒","市","10/12","","12.2","+0.15","+1.24","792","9.63","12.05","12.1","12.25","12.05","1.66","10.6","0.7","    ","    ","    ","    "
"61",="1325","恆大","市","10/12","","22.6","+0.1","+0.44","108","2.46","22.5","22.5","22.75","22.5","1.11","66.5","0.7","    ","    ","    ","    "
"62",="3052","夆典","市","10/12","","11.3","0","0","290","3.27","11.3","11.3","11.35","11.25","0.88","9.91","0.7","    ","    ","    ","    "
"63",="8921","沈氏","櫃","10/12","","13.85","0","0","1","0.01","13.85","13.85","13.85","13.85","0","1385","0.7","    ","    ","    ","    "
"64",="5530","龍巖","櫃","10/12","","36.6","0","0","270","9.88","36.6","36.7","36.9","36.5","1.09","16.7","0.7","    ","    ","    ","    "
"65",="2505","國揚","市","10/12","","18.3","+0.05","+0.27","44","0.81","18.25","18.25","18.3","18.2","0.55","37.3","0.7","    ","    ","    ","    "
"66",="2515","中工","市","10/12","","10.15","+0.1","+1","4,328","43.9","10.05","10.1","10.2","10.05","1.49","25.4","0.7","    ","    ","    ","    "
"67",="2069","運錩","市","10/12","","16.05","+0.05","+0.31","227","3.66","16","16.4","16.4","16","2.5","","0.71","    ","    ","    ","    "
"68",="1409","新纖","市","10/12","","15.45","+0.1","+0.65","1,065","16.4","15.35","15.45","15.45","15.3","0.98","18.2","0.71","    ","    ","    ","    "
"69",="1595","川寶","櫃","10/12","","39.3","-0.1","-0.25","25","0.99","39.4","39.4","39.4","39.1","0.76","13.9","0.71","    ","    ","    ","    "
"70",="1449","佳和","市","10/12","","14.35","+0.1","+0.7","1,161","16.5","14.25","14.35","14.6","13.95","4.56","57.4","0.71","    ","    ","    ","    "
"71",="3516","亞帝歐","櫃","10/12","","18.65","-0.25","-1.32","18","0.34","18.9","18.9","18.95","18.6","1.85","20.7","0.71","    ","    ","    ","    "
"72",="2323","中環","市","10/12","","12.25","+0.5","+4.26","16,134","197","11.75","11.9","12.3","11.85","3.83","7.9","0.71","    ","    ","    ","    "
"73",="2547","日勝生","市","10/12","","8.75","+0.04","+0.46","305","2.66","8.71","8.74","8.75","8.69","0.69","","0.72","    ","    ","    ","    "
"74",="5515","建國","市","10/12","","13.6","0","0","145","1.97","13.6","13.55","13.65","13.55","0.74","11.6","0.72","    ","    ","    ","    "
"75",="5356","協益","櫃","10/12","","28.4","-0.05","-0.18","69","1.94","28.45","28.45","28.45","28.1","1.23","86.1","0.72","    ","    ","    ","    "
"76",="1313","聯成","市","10/12","","15.35","+0.15","+0.99","1,075","16.5","15.2","15.3","15.45","15.25","1.32","","0.72","    ","    ","    ","    "
