"排名","代號","名稱","成交","漲跌價","漲跌幅","EPS平均","EPS合計","股利平均","股利合計","平均分配率","2012分配率","2013分配率","2014分配率","2015分配率","2016分配率","2017分配率","2018分配率","2019分配率","2020分配率","2021分配率","2022分配率","2023分配率"
"173",="1232","大統益","147","+0.5","+0.34","5.73","68.71","4.8","57.6","85.3","81.7","100","86","81","87.7","89.6","97.8","88.2","82.1","74.3","77.3","78.3"
"174",="1580","新麥","130.5","+2.5","+1.95","9.71","116.6","7.25","86.94","75.6","75.8","79.8","73.3","78.2","72","75.4","75.8","68.9","49.9","100","68.9","89.6"
"175",="2233","宇隆","112","+1.5","+1.36","6.79","81.43","4.48","53.71","66.4","73.1","70.3","72","75.4","59.2","72","74.7","56.7","65.1","60.1","59.9","58.1"
"176",="2382","廣達","198","+3","+1.54","5.41","64.93","4.3","51.55","83.2","66.4","66.5","78.5","81.6","82.3","89.1","91.2","90.6","89.4","79.1","57.3","127"
"177",="3014","聯陽","124","+4","+3.33","2.63","31.59","3.24","38.83","88","0","112","97.7","83.4","90.9","123","101","87.7","97.6","103","80.3","79.4"
"178",="3357","臺慶科","112.5","-0.5","-0.44","4.74","56.83","2.6","31.24","55.9","47.3","94.8","44.8","49.7","50.1","51.6","50.6","58.2","55.9","50.8","57.9","59.3"
"179",="3376","新日興","89.3","-0.2","-0.22","6.39","76.66","4.04","48.44","63.4","65.8","74.1","60","62.9","44.3","48.9","61","59.8","55.2","77.2","82.2","69.1"
"180",="3693","營邦","339","+1","+0.3","4.28","51.35","2.41","28.86","38.1","35","33.8","50","59.4","59.8","86.7","0","0","0","32.7","48.7","50.7"
"181",="4551","智伸科","144","+0.5","+0.35","6.76","67.65","3.8","38.02","56.9","","","0","90.2","86.9","77.2","86.7","50.8","24.6","55.6","47.8","49.2"
"182",="4958","臻鼎-KY","106","+1","+0.95","8.83","97.1","3.76","45.13","45.6","","45.5","40.5","40.3","45.9","51.3","51.3","42.5","45.3","50.6","49","39.9"
"183",="6438","迅得","113.5","+2","+1.79","5.47","54.69","3.98","39.77","80.4","","","133","67.8","64.3","82","66.6","69.3","130","65.3","62.1","63.8"
"184",="6640","均華","94","+2.4","+2.62","4.18","29.28","3.79","26.5","105","","","","","","74.9","119","90.1","99.3","191","85.6","72"
"185",="6651","全宇昕","80.2","-0.3","-0.37","5.14","30.86","3.4","20.38","67.3","","","","","","","84","67.1","55.7","71.9","57.9","67.3"
"186",="8941","關中","55.4","-0.4","-0.72","3.15","37.81","2.87","34.5","67.8","0","0","0","19.1","89.3","135","89.8","118","105","88","83.3","86.5"
"187",="8420","明揚","91.1","-0.4","-0.44","2.24","26.94","1.24","14.92","58.2","0","0","29.4","40","48.8","55.6","263","50.6","51.4","54.1","53.9","51.7"
"188",="4755","三福化","143","+1","+0.7","4.1","45.15","2.39","26.33","59.5","","17.1","42","42.9","44.1","50.3","61","44.1","64.7","66.8","47.4","175"
"189",="6412","群電","90","-1.8","-1.96","4.34","47.73","3.18","35.03","74.1","","70.9","82.6","75.4","74.5","75.5","74.8","73.5","71","72.5","72","71.8"
"190",="4974","亞泰","64","+0.2","+0.31","4.7","56.42","3.18","38.13","67.1","72.4","67.8","64.6","66.3","65.9","56.4","64.7","66.5","66.8","67.8","73.3","72.7"
"191",="6180","橘子","78.7","-0.1","-0.13","2.86","34.37","2.32","27.84","82.8","66.1","0","106","119","48.8","0","293","60.1","61.6","80","79.4","79.6"
"192",="5306","桂盟","156.5","+1.5","+0.97","7.77","93.3","4.11","49.31","43.6","0","20.2","31.9","34.8","40.2","45.5","57.5","59.8","56.2","59.1","55.4","62.1"
"193",="6196","帆宣","139","+3.5","+2.58","4.09","49.11","2.57","30.83","71.4","42.4","131","81.5","85.8","71.9","66.5","65.8","68.1","68.7","71.7","54","49.7"
"194",="2451","創見","73","+2.1","+2.96","6.1","73.26","5.79","69.45","96.6","81.8","94.9","90.2","90","90.9","89.7","97.2","104","112","109","102","97.9"
"195",="5015","華祺","41.65","+0.2","+0.48","3.23","38.75","2.59","31.1","70.9","71.4","-62.2","74.1","80.6","82.3","84.5","92.8","83.7","101","97.9","85.4","59.2"
"196",="6279","胡連","164.5","+2.5","+1.54","7.17","86.04","4.95","59.45","69.3","68","69.1","86.8","70","67.9","64.9","80","66.7","68","71.6","63.2","55.8"
"197",="9942","茂順","151.5","-1","-0.66","5.67","68.1","4.23","50.8","75.1","65.2","73.1","82.5","63.3","78.6","68.3","66.4","79.5","85.4","90.5","77","71.6"
"198",="6761","穩得","87.1","-1","-1.14","6.27","25.08","4.4","17.6","71","","","","","","","","","72.6","74.1","67.9","69.2"
"199",="8050","廣積","103.5","+9","+9.52","3.73","44.7","3.34","40.1","106","85.2","88.9","174","94.1","87","83.1","98.1","77.5","94.7","248","80.5","59.3"
"200",="1558","伸興","112","0","0","12.08","145","8.73","104.8","73.7","63.3","68.4","69","65.7","66.9","67.6","97.9","72.1","78.9","69","97.9","68.1"
"201",="2049","上銀","221","0","0","9.68","116.1","3.76","45.1","38.5","37","36.8","37.7","38","37.7","37.3","38.9","39.6","34.8","38","43.4","42.4"
"202",="3026","禾伸堂","106.5","+1","+0.95","5.94","71.29","4.91","58.89","94.6","84","99.9","115","81.2","93.6","111","120","51.1","139","96.3","72.8","70.6"
"203",="3090","日電貿","53","+0.4","+0.76","3.76","45.12","3.18","38.1","88.1","100","91.5","87.3","82","89.7","85.1","91.4","75.9","105","92.3","87.1","68.6"
