"排名","代號","名稱","成交","漲跌價","漲跌幅","平均業外損益(億)","2011業外損益(億)","2012業外損益(億)","2013業外損益(億)","2014業外損益(億)","2015業外損益(億)","2016業外損益(億)","2017業外損益(億)","2018業外損益(億)","2019業外損益(億)","2020業外損益(億)","2021業外損益(億)","2022業外損益(億)","23Q1業外損益(億)"
"930",="2732","六角","157","-6.5","-3.98","-0.07","-0.07","0.01","-0.05","0.19","0.18","-0.21","-0.26","-0.11","-0.23","-0.49","-0.14","0.39","-0.07"
"931",="6266","泰詠","42.4","-0.7","-1.62","0.15","0.21","-0.04","0.42","0.24","0.29","0.08","-0.05","0.27","0.1","-0.08","0.02","0.39","0.06"
"932",="5209","新鼎","186","-7","-3.63","0.24","0.19","0.02","0.1","0.24","0.11","0","0","0.12","0.19","0.06","1.46","0.39","0.09"
"933",="5340","建榮","46.5","-1.3","-2.72","0.08","0.43","-0.03","0.11","0.12","0.14","0.04","-0.2","0.18","-0.05","-0.12","-0.05","0.38","-0.03"
"934",="3550","聯穎","16.35","-0.1","-0.61","0","-0.99","-0.39","0.15","0.4","-0.01","-0.11","-0.22","0.27","0.13","0.19","0.14","0.38","-0.06"
"935",="4190","佐登-KY","79","-1","-1.25","0.13","","0.21","0.08","0","0.32","0.24","0.16","0.2","-0.41","-0.2","0.45","0.38","0.08"
"936",="6672","騰輝電子-KY","88.1","-1.9","-2.11","-0.42","","","","-1.12","-0.94","0.53","-1.66","0.13","-0.19","-0.61","-0.28","0.38","0.03"
"937",="1233","天仁","37.7","-0.15","-0.4","0.3","0.14","0.27","0.39","0.38","0.6","0.19","0.18","0.53","0.17","0.05","0.38","0.38","0"
"938",="2434","統懋","29.85","0","0","0.23","-1.4","-0.41","-0.86","4.27","0.55","-0.27","-0.09","-0.08","-0.03","0.63","0.07","0.38","-0.01"
"939",="6226","光鼎","11.5","-0.35","-2.95","0.11","-0.22","-0.68","0.09","0.01","-0.26","0.44","0.12","-0.27","2.25","-0.42","-0.13","0.37","-0.1"
"940",="8021","尖點","30.15","-0.5","-1.63","0.03","-0.08","-0.11","0.17","-0.05","-0.41","-0.24","0.11","0.1","0.24","-0.02","0.22","0.37","0.13"
"941",="1783","和康生","64.8","+0.2","+0.31","0.09","0.06","0.14","0.07","0.1","-0.02","-0.01","-0.04","0.11","0.07","0.16","0.08","0.37","0.16"
"942",="3615","安可","21","-0.35","-1.64","0.04","","-0.29","-0.11","-0.14","0.23","0.74","0.66","0.84","-3.09","0.62","0.59","0.37","0.27"
"943",="3083","網龍","47.9","-1","-2.04","0.24","0.34","0.11","0.22","0.27","0.13","0.37","0.07","0.15","0.18","0.31","0.32","0.37","0.04"
"944",="7556","意德士","118.5","-2","-1.66","0.09","","","","","","","0.04","0.11","0.01","-0.08","0.11","0.37","0.1"
"945",="5220","萬達光電","28.85","+0.05","+0.17","-0.02","","","-0.03","0.05","-0.01","-0.01","-0.26","0.14","-0.19","-0.22","0.01","0.37","-0.01"
"946",="4950","牧東","15.55","-0.3","-1.89","0.04","0.49","0.01","0.19","-0.91","0.6","2.67","-0.05","0.54","-2.17","-1.35","0.1","0.36","0.01"
"947",="6585","鼎基","79.5","+3","+3.92","-0.02","","","","0.17","-0.09","-0.12","-0.34","0.18","-0.12","-0.47","0.27","0.36","-0.02"
"948",="6556","勝品","109.5","-3.5","-3.1","0.11","","","","0.19","0.06","-0.02","0.31","0.2","-0.06","-0.07","-0.01","0.36","-0.08"
"949",="1323","永裕","31.7","-0.05","-0.16","0.08","0.11","-0.23","0.01","0.07","0.1","0.05","0.02","0.32","0.09","0.12","-0.05","0.36","0"
"950",="4729","熒茂","17","+0.05","+0.29","0.05","-0.15","-1.3","-4.5","-1.69","0.74","2.65","4.49","0.4","0.06","0.31","-0.77","0.36","0.14"
"951",="6558","興能高","27.2","-0.7","-2.51","0.04","","","-0.25","0.29","0.34","0.17","-0.31","0.39","-0.06","-0.25","-0.23","0.36","0"
"952",="3426","台興","40.3","0","0","0.2","","","","0.26","0.29","0.22","0.02","0.28","0.16","0.04","0.14","0.36","0.03"
"953",="3490","單井","26.4","+0.2","+0.76","0.21","0.03","0.05","0.48","0.11","0.18","1.11","0.1","-0.16","-0.04","0.15","0.19","0.36","0.08"
"954",="4581","光隆精密-KY","64","-1.1","-1.69","0.14","","","","","","0.12","-0.03","0.26","0.14","0.08","0.05","0.36","-0.01"
"955",="6117","迎廣","26.4","+1.35","+5.39","0.62","0.72","-0.03","0.15","0.28","-0.4","-0.11","6.27","0.55","-0.03","-0.19","-0.13","0.36","-0.11"
"956",="3268","海德威","23.2","+0.5","+2.2","0.23","-0.01","-0.41","-0.02","3.22","0.12","-0.12","-0.35","-0.04","-0.16","0.2","-0.05","0.35","-0.05"
"957",="6515","穎崴","824","-41","-4.74","0.06","","","","","","","-0.15","0.12","0.06","-0.06","0.04","0.35","0.03"
"958",="3311","閎暉","34.65","0","0","0.15","1.29","1.63","1.62","-7.43","1.36","0.63","0.38","1.96","0.87","-1.25","0.32","0.35","0.12"
"959",="3588","通嘉","50.7","-1.1","-2.12","0.14","0.17","0.11","0.25","0.27","0.22","0.04","-0.01","0.17","0.06","-0.03","0.1","0.35","0.02"
"960",="5520","力泰","60.2","0","0","0.39","0.19","0.35","0.28","0.64","0.45","0.32","0.43","0.6","0.6","0.31","0.22","0.35","0.1"
"961",="5514","三豐","20.3","-0.15","-0.73","0.3","-0.01","0.02","0","0.08","-0.33","1","0.94","0.39","0.3","0.42","0.42","0.35","0.01"
"962",="2904","匯僑","19.95","-0.1","-0.5","0.38","3.02","0.1","0.31","0.26","0.35","0.01","0.03","0.06","0.03","0.03","0.01","0.35","0.07"
"963",="3285","微端","20.9","-0.05","-0.24","0.07","0.25","-0.05","0.06","0.21","0.19","-0.02","-0.23","0.23","0.02","-0.14","0","0.35","0"
"964",="5309","系統電","38.55","-1.55","-3.87","1.13","-0.22","0.91","0.65","0.44","11.6","-0.34","-0.21","0.23","0.02","0.02","0.12","0.34","-0.01"
"965",="3441","聯一光","42","-1.1","-2.55","0.06","0.12","-0.08","-0.07","0.27","0.29","-0.13","-0.02","0.03","-0.1","0.06","0.01","0.34","0.07"
"966",="1570","力肯","21.45","-0.05","-0.23","0.15","0.17","-0.03","0.28","0.13","0.12","0.05","-0.12","0.14","0.04","-0.04","0.66","0.34","0"
"967",="3511","矽瑪","32.1","-0.9","-2.73","-0.03","-0.06","-0.07","0.15","0.19","0.46","-0.18","-0.73","0.06","-0.2","-0.13","-0.13","0.34","-0.04"
"968",="1526","日馳","38.5","-0.7","-1.79","0.08","0","-0.06","0.02","0.04","0.15","-0.17","-0.49","0.39","-0.07","0.89","-0.11","0.34","0.06"
"969",="8279","生展","172","0","0","0.09","","","0.12","0.03","0.03","-0.02","0.12","0.1","-0.03","0.04","0.14","0.34","0.05"
"970",="2302","麗正","20.2","-0.35","-1.7","0.07","-0.44","-0.67","0.45","0.51","0.22","0.53","-0.11","0.14","0.05","-0.3","0.09","0.34","0.07"
"971",="6509","聚和","42.95","-0.6","-1.38","0.03","0.3","0.26","0.48","0.04","0.02","-0.37","-0.55","0.12","-0.16","-0.05","-0.01","0.34","-0.11"
"972",="2444","兆勁","12.55","-0.2","-1.57","0.09","1.18","-0.1","-0.43","0.18","0.62","-0.07","-0.19","0.07","-0.09","-0.29","-0.12","0.34","-0.1"
"973",="8937","合騏","24.55","+0.15","+0.61","0.11","0.05","0.15","0.21","0.15","0.07","-0.06","-0.06","0.18","0.09","0.25","-0.01","0.34","0.29"
"974",="6821","聯寶","47.05","-1.95","-3.98","0.13","","","","","","","","","0.19","-0.02","0.01","0.34","-0.01"
"975",="3687","歐買尬","119","+3.5","+3.03","-0.15","-0.1","-0.34","0.15","-1.25","-0.01","-1.08","0.06","-0.07","0.04","0.27","0.18","0.33","0.13"
"976",="6606","建德工業","27.05","-0.1","-0.37","1.13","","","","","","","0.1","0.08","0.47","5.5","0.31","0.33","0.1"
"977",="6840","東研信超","67","+1.5","+2.29","-0.05","","","","","","","","","-0.09","-0.32","-0.12","0.33","-0.01"
"978",="8374","羅昇","31.1","-0.15","-0.48","0.02","3.37","-0.22","0.03","-1.39","-1.06","-0.56","0.21","-0.21","-0.15","-0.16","0.01","0.33","0"
"979",="6177","達麗","31.55","-0.1","-0.32","-0.3","0.45","-0.22","-0.15","-0.07","-0.01","0.07","-0.6","-0.81","-1.6","-0.01","-0.92","0.33","-0.01"
"980",="5288","豐祥-KY","187","-2","-1.06","0.91","","0.18","0.83","0.83","1.23","1.29","1.07","1.45","1.06","1.04","0.71","0.33","-0.01"
"981",="6735","美達科技","51.2","-0.6","-1.16","0.07","","","","","","","-0.1","0.08","0.08","0","0.03","0.32","0.01"
"982",="1789","神隆","28.2","-0.5","-1.74","0.03","0.02","1.12","0.11","0.43","0.53","-0.58","-0.84","-0.68","-0.02","-0.17","0.14","0.32","0.04"
"983",="6169","昱泉","27.35","-1.55","-5.36","0.09","0.09","0.06","0.05","0.04","-0.08","0.2","0","-0.11","0.23","0.06","0.24","0.32","0.01"
"984",="6231","系微","118","+2","+1.72","0.08","0.22","0.07","0","0.04","0.19","0.09","-0.05","0.07","0.03","-0.06","0.02","0.32","0.03"
"985",="6674","鋐寶科技","29.2","+0.2","+0.69","0.14","","","","0.17","0.29","0.24","0.31","0.13","0.05","0.22","-0.47","0.32","0.03"
"986",="6207","雷科","30.6","-0.5","-1.61","0.05","-0.04","-0.22","-0.56","-0.48","0.1","-0.28","-0.59","0.88","0.58","0.42","0.5","0.32","0.46"
"987",="8358","金居","57.6","-2.3","-3.84","-0.52","-0.7","-0.51","-0.48","-0.47","-1.18","-0.87","-0.81","-0.26","-0.59","-0.67","-0.03","0.32","-0.07"
"988",="4716","大立","13","+0.1","+0.78","0.35","0.08","-0.05","0.05","0.13","0.06","-0.03","-0.1","0.33","-0.04","0.36","3.14","0.32","0.17"
"989",="8422","可寧衛","196","-3","-1.51","0.22","0.03","0.2","0.21","0.29","0.24","0.13","0.23","0.12","0.25","0.4","0.23","0.32","-0.02"
"990",="6417","韋僑","143.5","+4.5","+3.24","0.08","0.14","-0.02","0.07","0.16","0.12","0.01","-0.03","0.13","0.03","0","0.07","0.32","-0.02"
"991",="6789","采鈺","254","-4.5","-1.74","0.16","","","","","","","","0.27","0.25","-0.01","-0.03","0.32","0.14"
"992",="3437","榮創","18.75","-0.2","-1.06","0.05","0.12","-0.2","0.17","0.36","0.24","-0.05","-0.16","-0.31","-0.38","0.09","0.46","0.32","0.16"
"993",="3297","杭特","18","+0.45","+2.56","0.09","0.19","0.01","0.12","0.16","0.13","0","0.03","0.28","0.27","-0.26","-0.16","0.32","0.04"
"994",="2643","捷迅","70","-1.4","-1.96","0.05","","","0.12","-0.04","-0.03","0.01","-0.01","-0.01","-0.09","0.27","-0.04","0.32","-0.09"
"995",="8068","全達","28.3","-0.95","-3.25","0.01","-0.01","-0.06","0.06","0.1","-0.06","0.18","0.15","-0.37","-0.17","-0.15","0.09","0.31","-0.02"
"996",="6596","寬宏藝術","56.7","+0.4","+0.71","0","","","","0","0.01","0.05","0.09","-0.02","0.03","-0.53","0.03","0.31","0.21"
"997",="6576","逸達","89","+3.3","+3.85","0.05","","","0.03","0.03","0.02","0.03","0.03","-0.02","0","0.02","0.11","0.31","0.01"
"998",="4987","科誠","64.2","0","0","0.07","-0.18","0.12","0.42","0.24","0.01","-0.15","0.05","0.15","-0.04","-0.06","-0.07","0.31","0.07"
"999",="4171","瑞基","52.1","-0.5","-0.95","-0.02","0","0.03","-0.11","0.03","0.02","-0.12","-0.24","0.17","-0.06","-0.16","-0.13","0.31","-0.03"
"1000",="6542","隆中","60.8","-0.2","-0.33","-0.22","","","","0.01","0.35","-0.13","-1.03","0.21","-0.77","0.1","-0.99","0.31","-0.01"
"1001",="8936","國統","33.95","+0.05","+0.15","0.87","16.3","-0.04","-0.32","1.65","-0.89","-1.65","-0.62","-1.04","-0.76","-1.5","-1.05","0.31","-0.1"
"1002",="6270","倍微","23.55","-0.3","-1.26","0.03","0.44","-2.12","0.33","0.15","0.14","0.13","0.16","0.11","0.2","0.13","0.34","0.31","0.03"
"1003",="6574","霈方","60.5","0","0","0.07","","","","0.02","0.04","0.01","-0.03","0.04","0.03","-0.02","0.22","0.31","0.12"
"1004",="6462","神盾","112","+2.5","+2.28","-0.17","","-1.84","0.03","0.08","0.08","0.23","-0.41","1.22","-0.5","-0.99","-0.1","0.31","0.8"
"1005",="4417","金洲","39.95","-0.55","-1.36","0.71","0.54","3.77","0.37","0.21","0.5","1.21","-0.73","-0.06","0.39","1.75","0.22","0.31","0.17"
"1006",="4133","亞諾法","34.45","-0.35","-1.01","0.08","","0.03","0.09","0.15","0.04","0.09","0.14","0.17","-0.02","-0.09","-0.08","0.31","-0.01"
"1007",="4554","橙的","27.7","-0.35","-1.25","0.05","","","-0.02","0.05","0.08","-0.01","0","0.09","-0.03","0.07","-0.02","0.3","0.04"
"1008",="6292","迅德","45.65","0","0","0.44","0.04","0.11","0.27","1.05","-0.25","0.5","-0.14","0.09","1.27","0.53","1.52","0.3","0.11"
"1009",="1612","宏泰","26.6","-0.15","-0.56","3.16","0.77","-0.25","1.53","2.99","1.35","0.75","1.61","-0.23","2.02","2.83","24.3","0.3","0.42"
"1010",="1587","吉茂","22.4","-0.1","-0.44","0.12","-0.11","-0.06","0.6","-0.03","-0.06","-0.02","-0.07","0.21","-0.17","0.91","-0.06","0.3","-0.09"
"1011",="5272","笙科","27.6","-0.3","-1.08","0.09","","0","0.08","0.13","0.08","0.04","0.05","0.13","0.08","0.06","0.09","0.29","-0.01"
"1012",="6811","宏碁資訊","239.5","+6.5","+2.79","0.02","","","","","","","-0.06","0.01","-0.05","-0.11","0.04","0.29","0.01"
"1013",="3551","世禾","68.8","-0.8","-1.15","0.21","0.43","0.19","0.13","0.24","0.27","0.18","-0.02","0.26","-0.25","0.03","0.76","0.29","0.05"
"1014",="2719","燦星旅","84.3","+1","+1.2","0.07","0.1","0.11","0.16","0.18","0.05","-0.05","-0.4","-0.03","0.11","0.16","0.17","0.29","0.11"
"1015",="6130","星寶國際","32.1","-1.6","-4.75","-0.04","","-0.01","-1.49","0.24","0.08","0.03","0.11","0.03","0","-0.09","0.33","0.29","-0.04"
"1016",="1521","大億","38.65","-0.85","-2.15","0.59","0.92","0.55","0.97","0.64","0.9","1.21","0.82","0.94","0.36","-0.08","-0.4","0.29","-0.43"
"1017",="8466","美吉吉-KY","49.55","+0.55","+1.12","0.12","","","0.98","-1.08","0.5","0.63","-0.27","0.57","0.19","-0.43","-0.18","0.29","-0.11"
"1018",="1515","力山","35.6","-0.75","-2.06","0.07","-0.14","-0.43","1.66","0.53","0.34","0.24","-0.39","0.32","0.49","-0.97","-1.06","0.29","-0.15"
"1019",="5205","中茂","33.85","+0.35","+1.04","-0.03","-0.17","-0.37","-0.5","0","0.09","0.03","0.02","0.22","0.01","0.02","0","0.29","0.02"
"1020",="4406","新昕纖","10.55","-0.05","-0.47","0.11","","0.23","0.12","0.13","0.17","0.16","0.01","0.07","0.17","-0.12","-0.03","0.29","0.01"
"1021",="1781","合世","14.1","+0.1","+0.71","0.34","0.07","0.01","0.34","0.27","0.13","-0.04","-0.09","0.11","0.03","2.81","0.14","0.29","0"
"1022",="6691","洋基工程","372.5","-5.5","-1.46","0.17","","","","","0.01","0.13","0.51","0.18","0.06","0.11","0.1","0.29","0.09"
"1023",="2032","新鋼","17.5","-0.35","-1.96","0.12","","0.1","0.16","0.16","0.26","0.14","0","-0.05","0.09","0.04","0.15","0.29","0.08"
"1024",="6113","亞矽","14.85","-0.35","-2.3","0.22","0.53","-0.14","0.31","0.23","-0.02","0.73","0.07","0.03","0.19","0.12","0.26","0.29","0.08"
"1025",="5706","鳳凰","98","-3","-2.97","0.6","0.65","0.69","0.68","0.49","0.65","0.43","0.38","0.36","0.58","0.49","1.51","0.29","-0.45"
"1026",="5236","凌陽創新","109","+5.5","+5.31","0.03","","-0.03","-0.09","0.1","0","-0.13","-0.13","0.11","0.1","0.04","0.11","0.29","0.06"
"1027",="9930","中聯資源","53.9","-0.9","-1.64","0.14","0.18","0.33","0.41","0.34","0.09","0.28","0.31","0.03","-0.38","-0.21","0.05","0.29","-0.07"
"1028",="8104","錸寶","40.4","-0.9","-2.18","0.57","","","","0.13","-0.03","0.88","0.77","0.72","0.68","0.71","1.01","0.29","0.22"
"1029",="8097","常珵","55.9","-0.1","-0.18","0.2","0.28","0.36","-0.01","-0.02","0","0.33","1.1","0.04","0.02","0.02","0","0.28","0.04"
"1030",="2397","友通","77","0","0","0.59","0.54","0.41","0.53","0.62","0.48","0.09","-0.26","0.09","0.04","-0.34","4.59","0.28","-0.26"
"1031",="6763","綠界科技","518","-12","-2.26","0.07","","","","","","","","0.01","0.02","0.02","0.03","0.28","0.12"
"1032",="6133","金橋","18.2","-0.5","-2.67","0.19","0","0","0.35","0.47","0.37","0.05","-0.23","0.14","0.32","0.46","0.11","0.28","-0.05"
"1033",="4534","慶騰","10.4","+0.2","+1.96","-0.05","-0.15","-0.24","0.07","0.1","0.31","-0.28","-0.44","0.03","-0.01","-0.16","-0.1","0.28","-0.02"
"1034",="5244","弘凱","32","-0.25","-0.78","0.08","0.27","-0.1","-0.08","0.11","-0.02","-0.25","0.03","0.04","0.16","0.19","0.35","0.28","0.04"
"1035",="6129","普誠","32.3","0","0","0.24","0.02","0.39","0.18","1.08","-0.48","0.47","0.1","0","0.32","0.03","0.46","0.28","0.15"
"1036",="6796","晉弘","102","+1.5","+1.49","0.04","","","","","","","","","-0.01","-0.05","-0.06","0.28","-0.02"
"1037",="9919","康那香","18","-0.75","-4","-0.26","-0.18","-0.15","0.06","0","-0.29","-5.25","0.31","-0.07","-0.09","2.2","0.06","0.28","-0.03"
"1038",="5521","工信","7.6","-0.12","-1.55","-0.14","-0.17","-0.09","-0.17","-0.12","-0.47","-0.18","-0.18","0.27","-0.09","-0.84","0.08","0.28","0.01"
"1039",="4706","大恭","19.1","-0.1","-0.52","0.1","0.11","-0.06","0.23","0.09","0.12","0.06","-0.06","0.02","0.12","0.22","0.02","0.28","0.03"
"1040",="1445","大宇","18.95","-0.45","-2.32","0.23","0.42","0.19","0.22","0.21","0.18","0.13","0.32","0.12","0.05","0.38","0.26","0.28","-0.03"
"1041",="8416","實威","127.5","0","0","0.16","0.06","0.11","0.15","0.08","0.11","0.14","0.14","0.24","0.23","0.15","0.27","0.28","0.11"
"1042",="3169","亞信","111","-11","-9.02","0.06","","-0.03","0.07","0.14","0.07","0","-0.1","0.13","0.01","0.02","0.09","0.28","0.04"
"1043",="4527","方土霖","38.55","+3.5","+9.99","0.03","-0.39","-0.29","-0.09","-0.04","0.02","0.14","0.08","0.12","0.14","0.2","0.2","0.27","0.1"
"1044",="6560","欣普羅","33.3","+0.1","+0.3","0.03","","","","0.07","0.08","0","-0.19","0.14","0.03","-0.11","-0.02","0.27","0"
"1045",="8454","富邦媒","670","-8","-1.18","0.82","0.12","0.34","0.46","0.82","1.77","1.41","1.31","0.57","0.65","1.72","0.43","0.27","0.2"
"1046",="3388","崇越電","70.1","0","0","0.16","0.36","0.21","0.29","0.19","0.04","0.19","-0.21","0.07","-0.04","0.24","0.34","0.27","0.07"
"1047",="8089","康全電訊","21.3","+0.05","+0.24","0.11","0.21","0.48","0.35","-0.02","0.11","0.25","0.05","0.08","0.01","-0.32","-0.09","0.27","-0.03"
"1048",="4102","永日","29.6","-0.85","-2.79","0.05","","0.1","0.04","0.05","0.04","0.02","-0.04","0.05","0.09","-0.01","0","0.27","0"
"1049",="4542","科嶠","26.45","-0.05","-0.19","0.07","0.02","-0.09","0.29","0.25","0.16","-0.02","-0.06","0.18","-0.02","-0.07","-0.09","0.27","0"
"1050",="2432","倚天酷碁-創","44.3","-1","-2.21","0.14","","","","","","","","","0.05","0.12","0.13","0.27","0.01"
"1051",="1453","大將","13.9","-0.15","-1.07","0.55","0.33","-0.05","0.1","0.14","0.08","0.24","0.16","3.77","0.28","0.04","1.22","0.26","0.08"
"1052",="6655","科定","124.5","0","0","-0.2","","","","0.1","-0.15","-0.39","-0.38","-0.55","-1","-0.38","0.69","0.26","0.09"
"1053",="5381","合正","23","+0.9","+4.07","0.15","-0.49","-0.57","1.94","2.55","-0.43","2.03","-3.19","-0.42","0.01","0.04","0.04","0.26","-0.11"
"1054",="6698","旭暉應材","34.55","-0.65","-1.85","0.12","","","","","","-0.03","-0.16","0.26","0.01","0.15","0.34","0.26","-0.06"
"1055",="3583","辛耘","160","-2","-1.23","-0.05","-0.22","-0.01","-0.26","0.2","-0.06","0.21","-0.08","0.26","0.16","-0.76","-0.31","0.26","-0.08"
"1056",="1325","恆大","23.75","-0.25","-1.04","0.15","0.17","0.05","0.24","0.42","0.2","0.01","-0.13","0.25","0.1","0.07","0.19","0.26","0.05"
"1057",="2247","汎德永業","329.5","-3.5","-1.05","0.42","","","","","1.09","0.68","0.61","0.34","-0.04","0.34","0.13","0.25","0.07"
"1058",="2945","三商家購","41.85","-0.05","-0.12","0.06","","","","","","-0.01","-0.05","0.06","-0.14","-0.22","0.52","0.25","-0.06"
"1059",="8099","大世科","56.7","-2","-3.41","0.12","0.09","0.11","0.47","0.08","0.03","0.11","-0.01","0.02","-0.07","0.22","0.08","0.25","-0.01"
"1060",="6804","明係","76.4","+0.8","+1.06","0.03","","","","","","","0.08","0.1","-0.05","-0.09","-0.09","0.25","-0.04"
"1061",="2756","聯發國際","137","0","0","-0.02","","","","","","","-0.02","0.12","-0.02","-0.45","-0.01","0.25","0"
"1062",="6109","亞元","15.65","-0.25","-1.57","0.12","0.13","-0.05","0.04","0.12","0.57","0.26","0.1","0.09","0.03","0.06","-0.19","0.25","-0.05"
"1063",="3646","艾恩特","30.35","-0.1","-0.33","0.07","0.27","-0.15","0.1","0.11","0.17","0.13","-0.19","0.17","0.04","-0.03","-0.04","0.25","-0.01"
"1064",="5302","太欣","10.6","-0.25","-2.3","0.23","0.13","0.14","0.16","0.28","0.21","0.16","0.59","0.27","0.18","0.19","0.22","0.25","0.05"
"1065",="4971","IET-KY","62.4","-0.6","-0.95","0.02","-0.01","-0.01","0","0.34","-0.71","0.04","0.03","-0.02","-0.02","0.23","0.07","0.25","0.02"
"1066",="3597","映興","24.55","-0.25","-1.01","0.04","-0.08","0","0.06","0.13","0.16","-0.04","-0.15","0.16","0.11","-0.08","-0.02","0.25","0"
"1067",="1220","台榮","14.8","-0.2","-1.33","0.23","0.13","0.2","0.12","0.23","0.19","0.64","0.31","0.24","0","0.18","0.27","0.25","0.07"
"1068",="8489","三貝德","25.45","+0.2","+0.79","0.08","","","","-0.17","0.06","-0.01","0.05","0.09","0.4","-0.1","0.19","0.24","0.12"
"1069",="3308","聯德","43.5","+0.3","+0.69","0.18","-0.02","0.32","0.5","0.32","0.09","0.68","-0.06","0.18","0.04","-0.25","0.12","0.24","3.99"
"1070",="6174","安碁","25.5","-0.55","-2.11","0.05","0.04","-0.01","0.24","0.07","0.04","0.02","-0.21","0.13","0","-0.05","0.11","0.24","-0.02"
"1071",="5351","鈺創","40.9","-0.9","-2.15","0.04","2.12","0.23","0.19","0.57","-0.14","-0.97","-0.75","-0.25","0.01","-0.34","-0.45","0.24","0.06"
"1072",="3230","錦明","13.15","+0.1","+0.77","-0.18","-1.35","-1.06","1.09","-0.47","0.13","0.42","-0.43","0.2","-0.54","-0.16","-0.21","0.24","-0.05"
"1073",="6708","天擎","49.5","-0.6","-1.2","0.02","","","","","","","-0.18","0.17","-0.02","-0.07","-0.04","0.24","0"
"1074",="5543","桓鼎-KY","50.1","0","0","-0.02","","","","","0.03","-0.09","-0.16","0","-0.02","-0.04","-0.09","0.24","-0.26"
"1075",="5203","訊連","92.5","-0.6","-0.64","-0.36","0.32","0.48","0.94","2.08","0.61","-2.33","-2.22","0.2","2.17","0.16","-6.98","0.24","0.3"
"1076",="8033","雷虎","67.5","-1.3","-1.89","0.11","0.05","-0.27","1.57","-0.25","0.05","0.08","0.02","-0.17","-0.19","0.44","-0.21","0.24","-0.11"
"1077",="6122","擎邦","48.35","+1","+2.11","0.31","0.26","0.59","0.12","0.28","0.04","0.02","0.52","0.19","1.42","0.02","0.02","0.24","0.05"
"1078",="6751","智聯服務","97.2","+0.4","+0.41","0.04","","","","","","","0","0.01","-0.01","-0.01","0.01","0.24","0"
"1079",="5291","邑昇","30.5","-0.7","-2.24","0.02","","-0.08","0.02","0.16","0.3","-0.1","-0.17","0.09","-0.11","-0.03","-0.04","0.23","-0.03"
"1080",="4161","聿新科","40.85","-0.15","-0.37","-0.02","-0.17","-0.06","0.36","0.09","-0.15","-0.08","-0.45","0.29","0.01","-0.21","-0.16","0.23","0.03"
"1081",="6263","普萊德","133.5","-3.5","-2.55","0.15","0.1","0.13","0.2","0.21","0.2","0.08","0.11","0.17","0.16","0.06","0.1","0.23","0.09"
"1082",="6512","啟發電","21.95","+0.4","+1.86","0.07","","","","0.16","0.1","0.03","-0.09","0.11","0.06","0.04","-0.02","0.23","0"
"1083",="1410","南染","37.5","0","0","0.08","0.09","0.06","0.09","0.11","0.1","0.05","0.02","0.17","0.07","-0.07","0.01","0.23","0.18"
"1084",="4944","兆遠","9.4","0","0","-0.16","0.18","-0.08","2.03","1.8","-0.92","-1.36","-0.14","0.61","-3.7","1.09","-1.62","0.23","0.2"
"1085",="1341","富林-KY","68.2","-0.8","-1.16","-0.01","","","","","-0.19","-0.11","-0.17","-0.12","0.05","0.03","0.22","0.23","-0.06"
"1086",="4807","日成-KY","19.45","-0.2","-1.02","0.1","","","0.23","0.16","0.21","0.01","-0.29","0.18","-0.07","0.09","0.22","0.23","0"
"1087",="1733","五鼎","27.45","-0.05","-0.18","-0.16","0.38","-0.07","0.77","0.29","0.1","-1.94","-0.49","-0.66","-0.4","0.07","-0.2","0.23","0.05"
"1088",="6425","易發","21.05","+0.35","+1.69","0.04","","-0.14","0","-0.11","0.61","-0.02","-0.19","0.37","-0.07","-0.07","-0.22","0.23","-0.04"
"1089",="6485","點序","105","-9","-7.89","0.06","","","0","0.12","0.12","0.05","0.01","0.02","-0.17","0.16","0.02","0.23","0.05"
"1090",="3094","聯傑","32.3","-1.1","-3.29","0.23","0.19","0.04","0.23","0.32","0.42","0.23","0.05","0.33","0.35","0.17","0.24","0.23","0.07"
"1091",="3056","總太","44.75","0","0","0.16","0.1","0","0.78","0.05","0.19","0.09","-0.05","0.29","0.2","-0.04","0.06","0.23","0.14"
"1092",="6165","浪凡","33.1","-0.65","-1.93","0.24","-0.11","-0.08","0.48","0.22","0.08","0.09","0.3","0.12","0","0.83","0.74","0.23","-0.03"
"1093",="5864","致和證","30.5","-0.5","-1.61","0.5","","0.76","-1.73","0.67","0.34","0.17","0.12","4.09","0.26","0.27","0.28","0.22","0.11"
"1094",="3312","弘憶股","22.7","-0.2","-0.87","-0.31","0.03","-0.08","0.07","-0.23","-0.4","-0.18","-2.82","-0.03","-0.11","-0.27","0.07","0.22","-0.19"
"1095",="6148","驊宏資","47.95","+1.95","+4.24","-0.2","-0.83","-0.62","-0.5","-0.81","-0.75","0.09","0.18","0.2","0.12","0.13","0.24","0.22","0.02"
"1096",="3543","州巧","23.2","+0.2","+0.87","0.78","-0.19","0.41","0.36","0.32","1.36","0.41","0.5","1.06","1.14","1.24","2.51","0.22","0.06"
"1097",="5245","智晶","46.3","-0.3","-0.64","0.12","","0.08","0.07","0.22","0.18","0.06","-0.04","0.11","0.13","0.12","0.15","0.22","0.05"
"1098",="5276","達輝-KY","16.45","-0.45","-2.66","0.11","","0","-0.05","0.11","0.2","0.02","-0.03","0.32","0.17","0.19","0.08","0.22","-0.02"
