"排名","代號","名稱","成交","漲跌價","漲跌幅","平均業外損益(億)","2011業外損益(億)","2012業外損益(億)","2013業外損益(億)","2014業外損益(億)","2015業外損益(億)","2016業外損益(億)","2017業外損益(億)","2018業外損益(億)","2019業外損益(億)","2020業外損益(億)","2021業外損益(億)","2022業外損益(億)","23Q1業外損益(億)"
"615",="1514","亞力","60.7","-0.1","-0.16","0.44","0.37","0.02","-0.01","0.55","0.55","0.55","0.15","0.75","0.51","0.41","0.52","0.95","0.09"
"616",="4116","明基醫","59.1","-0.7","-1.17","0.23","0.02","0.03","0.09","0.06","1.24","0.1","-0.04","0.03","0.06","0.08","0.15","0.95","0.02"
"617",="6609","瀧澤科","36.65","-0.05","-0.14","0.13","-0.02","-0.28","0.14","0.6","0.48","-0.28","-0.41","0.54","-0.3","-0.21","0.28","0.94","-0.03"
"618",="3031","佰鴻","20.4","-0.4","-1.92","0.79","0.31","-0.06","0.34","1.23","0.62","1.02","0.78","0.87","1.2","0.74","1.46","0.94","0.22"
"619",="4576","大銀微系統","74.2","-0.6","-0.8","0.14","","","","","","-0.06","-0.13","0.26","0.26","-0.13","-0.15","0.93","0.13"
"620",="2939","凱羿-KY","30.5","+0.55","+1.84","0.2","","","","","","0.22","-0.76","1.37","0.18","-0.39","-0.14","0.93","0.07"
"621",="8467","波力-KY","65","+0.6","+0.93","0.33","","0.06","0","0.16","0.48","0.76","-0.21","0.86","0.65","-0.09","-0.03","0.92","-0.09"
"622",="8027","鈦昇","54.8","-1.7","-3.01","0.08","","0.05","0.03","0.23","0.06","-0.13","-0.24","0.11","0.1","-0.24","-0.07","0.91","-0.01"
"623",="8928","鉅明","37.55","-0.25","-0.66","0.15","0.33","0.08","0.22","0.05","-0.09","0.11","-0.2","0.26","0.21","0.1","-0.17","0.91","-0.02"
"624",="1528","恩德","17.3","0","0","0.53","1.63","0.19","0.6","0.74","0.24","-0.06","0.11","-0.21","0.13","0.06","2.07","0.91","-0.08"
"625",="6582","申豐","58.4","0","0","0.23","","","","0.27","0.17","0.25","-0.05","0.33","0.23","0.04","-0.07","0.91","0.06"
"626",="4744","皇將","38.55","-1.5","-3.75","0.05","0.05","-0.05","0.05","0.1","-0.04","0.01","-0.37","0.19","-0.07","-0.2","0","0.91","-0.07"
"627",="3338","泰碩","48.3","-0.2","-0.41","-0.05","-0.2","-0.56","-0.05","0.1","0.28","0.34","-0.79","0.26","-0.25","-0.41","-0.27","0.9","-0.06"
"628",="6552","易華電","37.4","-0.45","-1.19","0.19","","","0.48","0.09","0.21","-0.19","-0.11","0.1","0.08","0.07","0.3","0.9","0.26"
"629",="4568","科際精密","57.4","0","0","0.28","","","","","","0.41","-0.03","0.28","0.32","-0.05","0.15","0.9","-0.06"
"630",="3526","凡甲","166.5","-1","-0.6","0.26","-0.01","0.17","0.05","0.08","0.36","0.47","-0.45","0.53","0.33","0.12","0.57","0.9","-0.02"
"631",="3611","鼎翰","255","-3","-1.16","0.27","0.13","-0.18","0.37","0.27","0.33","0.18","0.02","0.51","0.13","0.26","0.33","0.9","-0.02"
"632",="8111","立碁","19","-0.15","-0.78","0.39","-0.39","-0.35","0","-0.04","0.04","-0.16","-0.27","2.25","0.39","-0.07","2.44","0.89","-0.01"
"633",="1752","南光","61.8","0","0","0.16","","0.09","0.06","-0.09","0.16","0.4","0.57","-0.09","0.05","0.01","-0.26","0.89","0.14"
"634",="8171","天宇","47.55","-1.2","-2.46","0.19","0.24","-0.02","0.45","0.69","0.23","-0.08","-0.17","0.24","0.03","-0.1","-0.09","0.88","0.03"
"635",="5355","佳總","7.4","-0.03","-0.4","0.32","0.23","-0.15","0.5","0.37","0.27","-0.02","-0.34","0.28","-0.11","1.29","0.61","0.88","0.01"
"636",="3522","御頂","17.95","0","0","-0.15","0.11","-0.28","-0.19","0.05","0.12","-0.06","0.1","1.45","-0.38","-2.08","-1.49","0.88","0.08"
"637",="2482","連宇","69.3","-1.3","-1.84","0.12","-0.12","0.08","0.12","0.24","0.12","0.11","-0.16","0.04","0.05","-0.05","0.09","0.88","-0.04"
"638",="5315","光聯","19.75","-0.3","-1.5","0.19","-0.27","0.15","0.27","0.19","0.26","0.07","-0.43","0.78","0.15","0.03","0.22","0.88","-0.03"
"639",="4961","天鈺","137.5","-2","-1.43","0.23","0.33","-0.18","0.14","0.16","0.18","0.17","0.05","-0.15","0.09","0.43","0.69","0.88","0.52"
