"排名","代號","名稱","成交","漲跌價","漲跌幅","平均EPS(元)","20Q3EPS(元)","20Q4EPS(元)","21Q1EPS(元)","21Q2EPS(元)","21Q3EPS(元)","21Q4EPS(元)","22Q1EPS(元)","22Q2EPS(元)","22Q3EPS(元)","22Q4EPS(元)","23Q1EPS(元)","23Q2EPS(元)"
"1414",="3576","聯合再生","16.2","+0.1","+0.62","-0.18","0.05","-1.86","-0.2","-0.15","-0.06","-0.29","0.37","0.11","0.12","0.02","0.03","-0.25"
"1415",="5481","新華","13.6","+0.05","+0.37","0.08","-0.13","-0.34","-0.09","2.35","-0.36","-0.14","-0.16","0","0.08","-0.05","-0.12","-0.11"
"1416",="6124","業強","33.7","+0.8","+2.43","0.21","0.68","0.19","0.37","0.56","0.14","0.23","0.59","-0.08","0.21","-0.26","0.04","-0.2"
"1417",="4714","永捷","12.55","+0.1","+0.8","0","0","0.04","-0.02","0","0.29","0","0.03","-0.26","-0.09","-0.07","0.09","0.01"
"1418",="2204","中華","87.4","+3.9","+4.67","0.18","1.73","1.49","2.35","2.3","1.25","1.77","2.41","-9.93","-0.99","-5.72","2.71","2.83"
"1419",="3083","網龍","43.75","+0.8","+1.86","-0.04","0.07","0.02","-0.19","-0.21","0.19","-0.24","-0.18","0.18","-0.14","-0.13","-0.07","0.18"
"1420",="1809","中釉","14","+0.1","+0.72","0.04","0.06","-0.14","0.08","0.05","0.04","0.08","0.1","0.21","0.23","-0.16","-0.08","0.02"
"1421",="2321","東訊","15.7","-0.6","-3.68","-0.17","-0.21","-0.09","0.03","0","0.11","0.01","0.05","0.11","0.08","-0.09","-1.32","-0.67"
"1422",="6695","芯鼎","39","+0.5","+1.3","0.12","","-1.07","-0.18","0.97","0.74","0.37","0.15","0.54","0.29","-0.15","-0.37","0.05"
"1423",="1326","台化","62","-0.8","-1.27","0.99","2.26","1.67","2.2","2.12","1.63","0.61","1.04","1.08","0.43","-1.28","-0.13","0.29"
"1424",="4764","雙鍵","45.9","-0.65","-1.4","0.18","0.2","0.42","0.32","0.52","0.18","0.36","0.31","0.24","0.08","0.09","-0.22","-0.31"
"1425",="1309","台達化","17.3","+0.2","+1.17","0.85","1.91","2.3","1.42","1.57","0.98","1.19","0.65","0.42","0.09","-0.11","-0.18","-0.04"
"1426",="2431","聯昌","10.55","+0.1","+0.96","0.1","0.33","0.02","1.62","-0.23","-0.18","-0.18","-0.11","0.05","0.01","0.13","-0.17","-0.15"
"1427",="6224","聚鼎","56","+1","+1.82","0.88","1.3","1.61","1.7","1.78","1.61","0.99","0.93","-0.43","0.5","0.05","0.06","0.45"
"1428",="6552","易華電","34.3","+0.5","+1.48","0.48","0.6","0.15","0.43","1.42","1.54","0.51","0.66","0.88","0","-0.66","-0.21","0.43"
"1429",="2705","六福","17.7","+0.1","+0.57","-0.31","0.08","0.04","-0.87","-1.06","-1","1.44","-0.74","-1.31","0.21","0.19","-0.26","-0.49"
"1430",="6654","天正國際","43.9","+1.25","+2.93","0.71","0.72","0.62","1.06","1.71","2.1","1.75","0.66","0.3","0.29","-0.43","-0.28","0.05"
"1431",="2506","太設","9.06","-0.03","-0.33","0.15","-0.18","0.25","0.4","-0.14","0","0","-0.11","2.18","0.01","-0.49","0.13","-0.25"
"1432",="2106","建大","29.5","0","0","0.22","0.74","0.4","0.75","0.47","0.24","-0.45","0.21","0.5","0.25","-0.59","-0.42","0.5"
"1433",="6405","悅城","24.3","0","0","0.13","0.92","-0.49","0.88","0.13","0.17","0.33","0.53","-0.29","0.46","-0.65","-0.28","-0.16"
"1434",="2537","聯上發","7.11","-0.01","-0.14","0.11","-0.06","-0.14","-0.13","0.03","1.3","0.18","0.28","0.02","0.07","-0.11","-0.11","-0.06"
"1435",="4554","橙的","27.75","+0.45","+1.65","0.33","0.54","0.1","0.08","0.31","0.94","0.67","1.04","0.55","0.08","-0.44","-0.24","0.32"
"1436",="8011","台通","16.7","+0.35","+2.14","-0.26","-0.12","-0.09","-0.31","-0.18","-0.49","-0.37","-0.4","-0.65","-0.19","-0.39","0.09","0.01"
"1437",="3588","通嘉","54.2","0","0","0.82","0.41","0.54","0.7","1.6","2.04","2.25","1.81","1.01","0.19","-0.15","-0.3","-0.23"
"1438",="4716","大立","12.9","+0.1","+0.78","0.28","0.37","-0.17","3.08","-0.47","0.04","0.87","-0.13","0.01","0.15","-0.22","0.02","-0.14"
"1439",="4558","寶緯","28.55","+1.3","+4.77","0.62","0.74","1.21","0.67","1.33","1.27","1.28","1.16","0.04","-0.19","0.32","-0.58","0.14"
"1440",="5905","南仁湖","12.05","+0.1","+0.84","-0.11","0.35","0.08","-0.12","-0.35","-0.21","-0.09","-0.28","-0.44","-0.04","-0.14","-0.08","-0.02"
"1441",="8054","安國","31.25","+0.2","+0.64","0.34","0.03","0.27","0.73","1.15","1.36","0.19","0.18","0.7","-0.02","-0.29","-0.61","0.37"
"1442",="8044","網家","42.2","+1.8","+4.46","-0.03","0.58","0.25","1.17","0.54","0.64","-1.53","-0.25","-0.01","-0.21","0.07","-0.96","-0.69"
"1443",="1440","南紡","14.85","-0.1","-0.67","0.23","0.19","0.41","0.68","0.61","0.27","0.21","0.46","0.25","0.18","-0.19","-0.29","-0.04"
"1444",="2033","佳大","14.35","+0.15","+1.06","0.01","0.05","0.13","0.04","0.04","0.06","0.05","0.01","0","-0.06","-0.1","-0.08","-0.01"
"1445",="3105","穩懋","130","-5.5","-4.06","1.98","4.68","3.07","2.72","2.32","3.67","4.19","2.08","1.52","0.83","-0.18","-0.95","-0.23"
"1446",="1589","永冠-KY","54","+0.8","+1.5","0.24","1.94","2.14","1.13","1.27","0.27","-0.72","-1.75","-0.81","-1.21","-0.19","0.62",""
"1447",="4142","國光生","32.7","+0.4","+1.24","0.22","0","3.03","-0.58","-0.38","0.38","0.68","-0.55","0.11","0.98","0.14","-0.59","-0.57"
"1448",="5512","力麒","9.05","+0.04","+0.44","0.05","0.06","0.04","0.03","-0.06","0.09","0.37","0.06","0.12","-0.09","-0.04","-0.01","0.04"
"1449",="4909","新復興","23.35","+1.55","+7.11","-0.18","-0.02","-0.26","-0.17","-0.42","-0.22","-0.45","0.11","-0.2","0.29","-0.88","-0.04","0.1"
"1450",="4927","泰鼎-KY","52.8","+0.5","+0.96","1.13","1.9","1.1","0.81","1.54","2","2.9","2.18","1.9","0.3","0.22","-0.5","-0.85"
"1451",="8935","邦泰","11.95","-0.05","-0.42","0.03","-0.11","-0.2","0.29","0.21","0.13","-0.11","0.02","0.28","0.06","-0.04","-0.13","-0.1"
"1452",="3054","立萬利","20.2","+0.3","+1.51","-0.09","-0.25","0.07","0.14","1.32","-1.03","0.13","-0.23","-0.97","-0.15","-0.15","0.2","-0.11"
"1453",="2024","志聯","16.05","0","0","0.16","0.06","0.22","0.28","0.44","0.46","0.29","0.28","0.16","0.11","-0.07","-0.14","-0.16"
"1454",="1444","力麗","10","-0.05","-0.5","0.08","-0.15","0.05","0.08","0.05","0.07","0.48","0.28","0.33","0.22","-0.31","-0.11","-0.04"
"1455",="4907","富宇","37.15","+0.4","+1.09","0.22","0.03","1.09","0.43","0.07","-0.13","1.37","0.11","-0.05","-0.17","0.2","-0.28","-0.08"
"1456",="2939","凱羿-KY","28.45","-0.35","-1.22","0.08","0.37","1.41","0.14","-1.09","0.1","-0.21","0.45","0.12","0.11","-0.1","-0.47",""
"1457",="6588","東典光電","29.4","-0.45","-1.51","0.01","0.81","0.57","0.17","0.25","0.06","0","0.27","0.01","0.12","-1.06","-0.49","-0.64"
"1458",="1451","年興","19.05","-0.05","-0.26","0.17","-0.21","0.02","0.33","0.05","0.46","0.39","0.94","0.85","0.57","-0.2","-1.08","-0.13"
"1459",="4562","穎漢","15.8","+0.5","+3.27","-0.32","-0.42","-0.83","-0.35","-0.7","-0.36","-0.6","-0.24","-0.14","0.07","0.17","-0.07","-0.42"
"1460",="4989","榮科","27.15","0","0","0.42","0.09","0.04","0.64","1.07","1.06","0.94","1.1","0.5","0.03","-0.16","0.02","-0.29"
"1461",="1813","寶利徠","19.25","+0.2","+1.05","0.01","-0.03","0","0.24","-0.16","-0.02","-0.35","0.32","0.24","0.41","-0.81","0.08","0.24"
"1462",="4721","美琪瑪","79.6","+1.5","+1.92","0.79","0.56","0.25","0.7","1.18","1.58","1.35","2.24","2.04","1.22","-0.43","-0.84","-0.34"
"1463",="5460","同協","13.6","+0.45","+3.42","-0.05","-0.15","0.03","-0.05","-0.12","0.19","-0.02","-0.07","-0.13","-0.08","-0.07","-0.14","-0.01"
"1464",="2369","菱生","17.25","+0.2","+1.17","0.21","-0.01","-0.14","0.29","0.51","0.79","0.76","0.36","0.25","-0.08","0.03","-0.25","0"
"1465",="8107","大億金茂","16.2","-0.1","-0.61","0.11","0.35","0.46","0.23","0.08","-0.02","-0.03","0.06","0.69","-0.26","-0.05","0.01","-0.18"
