"排名","代號","名稱","成交","財報季度","營收(億)","營收成長(%)","毛利(億)","毛利成長(%)","淨利(億)","淨利成長(%)","毛利(%)","毛率增減","淨利(%)","淨率增減","EPS(元)","EPS增減(元)","ROE(%)","ROE增減","ROA(%)","ROA增減","財報評分"
"343",="6015","宏遠證","11.9","23Q1","7.95","+16.6","7.22","+19.1","-0.75","+66","90.9","+1.91","-9.41","+22.9","-0.22","+0.41","-1.53","+2.94","-0.57","+1.09","36"
"344",="5512","力麒","9.53","23Q1","63.6","+0.81","5.63","-21.3","-0.07","-117","8.85","-2.49","-4.06","-2.04","-0.01","-0.07","-1.5","-0.76","-0.65","-0.33","21"
"345",="3285","微端","21.25","23Q1","9.47","+6.16","1.39","+6.07","-0.18","+9.06","14.7","-0.01","-0.94","+0.08","-0.43","+0.03","-1.5","+0.01","-0.95","-0.01","40"
"346",="9928","中視","18.5","23Q1","8.81","+1.05","1.16","-2.03","-0.06","-192","13.2","-0.41","-0.71","-1.49","-0.1","-0.21","-1.5","-3.11","-0.17","-0.36","32"
"347",="8093","保銳","24.85","23Q1","3.2","+12.4","1.3","+20.9","-0.05","-1805","40.7","+2.84","-1.58","-1.69","-0.11","-0.12","-1.48","-1.57","-0.8","-0.85","47"
"348",="2323","中環","13.75","23Q1","73.8","-4.07","14.5","-1.15","-2.6","+75.9","19.6","+0.58","-3.59","+10.5","-0.24","+0.71","-1.47","+4.66","-1.11","+3.45","38"
"349",="6698","旭暉應材","34.3","23Q1","12.6","+0.56","2.84","-11.5","-0.86","-140","22.6","-3.07","-2.05","-3.87","-1.32","-0.77","-1.45","-2.74","-0.87","-1.66","43"
"350",="6165","浪凡","32.6","23Q1","29.8","-1.06","8.31","-1.49","-0.09","-126","27.9","-0.12","-0.32","-1.37","-0.16","-0.78","-1.41","-5.97","-0.51","-2.41","41"
"351",="8087","華鎂鑫","71","23Q1","2.06","-0.06","0.72","-1.1","-0.04","-111","35.1","-0.37","-2.06","-20.1","-0.14","-1.43","-1.4","-14.8","-0.58","-6.26","34"
"352",="5314","世紀","26.15","23Q1","0.21","+16","0.16","-5.31","-0.02","+28.5","74.4","-16.7","-8.94","+5.56","-0.13","+0.05","-1.36","+0.5","-1.06","+0.38","43"
"353",="2032","新鋼","16.85","23Q1","30.6","-8.88","0.21","-81","-0.23","-159","0.67","-2.55","-0.74","-1.88","-0.18","-0.47","-1.34","-3.52","-1.08","-2.92","34"
"354",="3504","揚明光","75.2","23Q1","42.1","-10.1","6.57","-18.8","-0.43","-166","15.6","-1.67","-1.01","-2.43","-0.37","-0.94","-1.31","-3.36","-0.75","-1.91","40"
"355",="2106","建大","29.5","23Q1","374","-3.18","51.8","-8.58","-2.29","-168","13.9","-0.82","-0.61","-1.49","-0.25","-0.62","-1.23","-3","-0.48","-1.21","32"
"356",="3266","昇陽","14.15","23Q1","17.1","-41.1","2.42","-57.4","-0.24","-112","14.2","-5.4","-4.2","-9.63","-0.07","-0.64","-1.22","-3.97","-0.52","-1.66","23"
"357",="2485","兆赫","20.05","23Q1","66.9","+1.68","5.69","+14.6","0.25","+6322","8.51","+0.96","-1.13","-0.1","0.08","+0.08","-1.18","-0.14","-0.89","-0.13","34"
"358",="3083","網龍","43.8","23Q1","3.7","+0.88","3.02","+0.01","-0.13","+44","81.7","-0.71","-3.64","+2.56","-0.15","+0.11","-1.16","+0.8","-1.05","+0.71","50"
"359",="6210","慶生","33.55","23Q1","5.19","-11.9","0.62","-40.9","-0.09","-130","11.9","-5.83","-1.64","-6.42","-0.24","-1.04","-1.13","-4.5","-0.86","-3.65","39"
"360",="5521","工信","7.42","23Q1","47.5","+2.78","2.2","+0.1","-0.58","-639","4.63","-0.12","-1.22","-1.45","-0.12","-0.14","-1.11","-1.31","-0.79","-0.93","43"
"361",="1240","茂生農經","45.8","23Q1","33.6","-0.29","2.61","-6.03","0.07","+31.5","7.76","-0.47","-0.44","+0.12","0.19","+0.05","-1.07","+0.33","-0.68","+0.19","28"
"362",="5392","能率","23.7","23Q1","98.1","-6.77","14.4","-10.4","-1.46","-50.7","14.6","-0.6","-0.84","-1.09","-0.88","-0.3","-1.07","-1.43","-0.53","-0.7","36"
"363",="4744","皇將","33","23Q1","8.28","-8.34","3.62","-8.78","-0.09","-117","43.8","-0.21","-1.14","-7.37","-0.19","-1.43","-1.04","-6.79","-0.44","-3.12","45"
