"排名","代號","名稱","成交","財報季度","現金(%)","應收帳款(%)","存貨(%)","速動資產(%)","流動資產(%)","投資(%)","固定資產(%)","無形資產(%)","其他資產(%)","流動負債(%)","長期負債(%)","其他負債(%)","負債總額(%)","股東權益(%)","每股淨值(元)","財報評分"
"1521",="2916","滿心","44.75","23Q2","17","17.1","36.7","34.1","71.8","9.75","14","0.52","1.23","24.5","","1.8","27.9","72.1","18.59","70"
"1522",="3438","類比科","61.9","23Q2","15.9","11.1","9.59","27","36.7","36.6","22.9","0.85","1.54","9.75","","0.02","16.6","83.4","41.68","45"
"1523",="9929","秋雨","12.8","23Q2","27.2","9.1","5.2","39.9","47.1","17.2","18.6","","5.39","24.9","0.63","1.67","28.2","71.8","9.16","47"
"1524",="6598","ABC-KY","24.3","23Q1","51.5","3.77","11.5","71.4","83.6","","10.9","0.8","1.23","7.76","22.9","","33.6","66.4","9.3","43"
"1525",="5481","新華","13.6","23Q2","7.49","0.49","0.81","7.98","32.6","49.6","9","6.98","0.32","1.34","15","0.91","23.2","76.8","19","40"
"1526",="2070","精湛","30.05","23Q2","23.1","8.38","16.3","33.6","50.9","","28","16.4","0.44","21.2","5.91","1.13","31.4","68.6","23.36","55"
"1527",="6855","數泓科","84.4","23Q2","11.1","45.5","18","73.2","91.4","","7.92","0.16","0.08","36.6","","0.03","36.7","63.3","31.14","64"
"1528",="8401","白紗科","20","23Q2","22.9","22.3","4.36","45.2","49.8","","43.2","0.14","1.92","21.2","4.36","0.1","29.2","70.8","15.3","48"
"1529",="3492","長盛","18.9","23Q2","31.3","18.9","13.7","50.2","68.2","5.2","13.1","0","1.6","32.1","0","0.19","40.3","59.7","15.59","45"
"1530",="1465","偉全","13.45","23Q2","14","4.67","9.72","24.7","36.6","1.52","21.3","0.03","39.2","14.8","","0.1","18.6","81.4","15.78","51"
"1531",="5222","全訊","170","23Q2","18.1","9.81","20.1","35.7","56.2","15.7","18.3","0.42","3.21","9.61","0.24","0.64","15.6","84.4","29.42","81"
"1532",="2756","聯發國際","124","23Q2","21.8","5.19","3.54","45.1","54.8","3.39","37.5","0.16","0.69","23.8","7.1","4.67","40.6","59.4","26.3","70"
"1533",="2073","雄順","30.5","23Q2","13.2","13.2","0.57","27.3","28.1","0.81","58.8","0.27","0.8","20.8","15","","45.6","54.4","15.94","45"
"1534",="1506","正道","17","23Q2","17.8","7.19","12.9","25","39.9","21.1","36.3","","0.22","9.15","0.03","0.18","11.8","88.2","8.91","53"
"1535",="6854","錼創科技-KY創","103.5","23Q1","56.9","2.02","4.64","59.4","72.2","0.04","23.5","1.53","0.99","12.7","0.6","0.02","13.8","86.2","21.36","43"
"1536",="3490","單井","23.45","23Q2","14.3","9.62","5.99","28.2","34.5","11.3","49.8","0.16","0.37","13.5","5.53","1.97","22.9","77.1","22.37","51"
"1537",="6523","達爾膚","130","23Q2","27.2","14.2","9.18","83.5","93.8","4.77","0.31","0.05","0.27","19.2","","0.07","19.4","80.6","33.41","89"
"1538",="4754","國碳科","48.95","23Q2","13.7","16","11","38.1","53.3","","42.7","0.25","1.29","21.8","19.1","0.6","44.3","55.7","16.38","55"
"1539",="1781","合世","12.8","23Q2","22.1","14.9","27.2","37","68.8","2.13","16.9","0.83","1.33","45.5","3.6","0.08","51","49","7.24","34"
"1540",="3672","康聯訊","25.3","23Q2","26.9","10.6","27.7","39.5","69.6","3.87","14.7","0.83","6.41","45.1","3.49","","51.2","48.8","10.98","34"
"1541",="4760","勤凱","68.7","23Q2","13.7","37","20","50.7","72","8.74","18.2","0.25","0.52","32.3","","","32.4","67.6","24.89","53"
