"排名","代號","名稱","成交","漲跌價","漲跌幅","平均業外損益(%)","20Q3業外損益(%)","20Q4業外損益(%)","21Q1業外損益(%)","21Q2業外損益(%)","21Q3業外損益(%)","21Q4業外損益(%)","22Q1業外損益(%)","22Q2業外損益(%)","22Q3業外損益(%)","22Q4業外損益(%)","23Q1業外損益(%)","23Q2業外損益(%)"
"1330",="8271","宇瞻","55.9","+0.7","+1.27","0.27","0.79","0.53","0.31","-0.09","-0.1","0.09","-0.17","0.05","0.91","0.08","0.3","0.51"
"1331",="3711","日月光投控","116.5","-2","-1.69","1.08","-0.1","0.91","0.23","0.13","0.03","10.2","0.38","0.33","-0.04","0.25","0.13","0.51"
"1332",="4938","和碩","78.1","+0.4","+0.51","0.57","0.97","0.18","0.75","1.99","0.2","0.8","-0.14","0.06","0.37","0.5","0.41","0.76"
"1333",="2317","鴻海","106","+0.5","+0.47","0.42","0.82","0.51","0.86","0.87","0.84","0.5","0.02","0.17","0.15","0.42","-1.38","1.29"
"1334",="6691","洋基工程","265.5","+1.5","+0.57","0.17","0.25","0.11","0.14","0","0.19","0.09","0.39","0.09","0.23","0.16","0.25","0.14"
"1335",="4127","天良","13.6","-0.1","-0.73","0.37","-0.28","0.38","0.05","2.48","1.08","0.42","0.35","-0.58","1.17","-0.13","-0.75","0.25"
"1336",="6895","宏碩系統","138","0","0","0.49","","","","0.19","","","0.79","0.53","","","0.5","0.45"
"1337",="2412","中華電","116.5","-0.5","-0.43","0.33","0.2","-0.15","0.43","0.37","1.3","0.13","0.03","0.91","0.05","-0.19","0.16","0.75"
"1338",="5902","德記","37.85","+0.05","+0.13","0.21","-0.01","0.06","0.47","0.14","0.01","0.09","0.18","0.08","0.21","0.28","0.49","0.55"
"1339",="8121","越峰","25.3","-0.2","-0.78","-0.57","-1.75","-2.14","-0.51","-0.77","-0.42","0.18","0.35","0.87","1.1","-1.67","-1.35","-0.68"
"1340",="2383","台光電","446.5","0","0","0.09","0.19","1.12","-0.11","0.02","0.14","-0.18","0.18","-0.06","0.33","0.3","-0.55","-0.34"
"1341",="3005","神基","71.9","+0.1","+0.14","3.84","0.81","0.88","0.55","33.6","2.24","0.67","0.66","-4.01","1.55","2.01","2.32","4.71"
"1342",="2945","三商家購","40.5","0","0","0.13","0.03","-0.31","-0.05","0.47","0.36","0.61","0.02","0.23","0.2","0.25","-0.17","-0.01"
"1343",="8931","大汽電","46.7","-1.45","-3.01","-0.36","0.72","0.02","-0.65","-4.32","1.51","-0.2","-0.24","-0.26","1.66","-0.79","-0.85","-0.88"
"1344",="2397","友通","68.7","0","0","0.85","-0.17","-0.82","0.16","-0.12","0.01","10.8","0.31","0.52","0.91","-0.94","-0.68","0.21"
"1345",="8110","華東","14.75","-0.4","-2.64","3.12","14.5","11.1","4.82","-1.18","-0.88","5.39","1.88","-3.85","7.77","-6.32","3.11","1.14"
"1346",="9939","宏全","105.5","+1","+0.96","-0.21","-0.1","-0.65","-0.64","-0.57","-0.18","-0.96","0.32","0.95","0.69","-1.67","0.19","0.1"
"1347",="6790","永豐實","38.35","-0.05","-0.13","1.13","8.2","1.42","0.01","0.8","0.5","0.73","0.46","-1.29","0.68","0.71","0.61","0.74"
