"排名","代號","名稱","成交","漲跌價","漲跌幅","平均業外損益(%)","20Q3業外損益(%)","20Q4業外損益(%)","21Q1業外損益(%)","21Q2業外損益(%)","21Q3業外損益(%)","21Q4業外損益(%)","22Q1業外損益(%)","22Q2業外損益(%)","22Q3業外損益(%)","22Q4業外損益(%)","23Q1業外損益(%)","23Q2業外損益(%)"
"481",="6226","光鼎","10.1","-0.1","-0.98","-0.29","-3.23","-6.62","0.46","-2.98","1.91","-5.49","4.32","7.12","11.3","-10","-5.52","5.31"
"482",="6542","隆中","55.7","-0.4","-0.71","-2.79","-1.96","0.25","7.42","-0.34","-57.9","-1.38","5.01","5.01","10.1","-4.2","-0.59","5.11"
"483",="4923","力士","45.1","+1.25","+2.85","1.52","-1.29","-1","0.28","-1.39","0.24","-0.35","3.82","4.95","11.5","-5.42","-1.07","7.89"
"484",="3114","好德","26.55","-0.35","-1.3","1.43","0.83","-0.91","0.52","-1.66","1.32","0.11","4.45","3.55","10.9","-3.89","-0.58","2.51"
"485",="6265","方土昶","10.4","-0.1","-0.95","2.73","0.15","0.37","0.9","-0.14","0.46","0.8","3.77","2.4","9.24","-2.32","1.64","15.5"
"486",="3046","建碁","77.4","-2.9","-3.61","1.86","-2.55","-1.82","0.16","0.05","7.92","1.4","2.1","6.22","2.18","5.16","0.57","0.96"
"487",="2603","長榮","107","0","0","2.82","-0.88","-0.5","0.37","0.59","0.1","1.48","1.51","4.23","5.28","5.08","7.62","9.03"
"488",="1326","台化","63.5","+0.1","+0.16","4.94","15","4.34","4.96","3.47","6.9","2.04","4.03","6.24","8.68","-4.15","1.41","6.31"
"489",="4432","銘旺實","25.8","-0.1","-0.39","1.08","8.27","-4.96","-0.28","-3.9","1.49","-4.6","4.62","5.6","9.18","-5.88","-1.75","5.14"
"490",="6693","廣閎科","69.9","-0.1","-0.14","0.83","-1.08","-1.96","-2.51","-2.83","1.14","-0.56","3.84","4.02","11","-5.4","-1.45","5.67"
"491",="3526","凡甲","179","+1","+0.56","2.72","-2.39","1.95","3.69","1.62","2.75","1.04","3.81","5.58","6.58","-0.99","-0.5","9.48"
"492",="1597","直得","63.8","-0.2","-0.31","0.89","-1.32","-1.53","-1.74","-1.72","-1.08","-3.31","5.2","0.87","7.74","1.73","1.05","4.8"
"493",="3548","兆利","118.5","-5","-4.05","1.75","-1.79","-3.06","2.75","0.32","0.67","0","1.78","6.75","8.29","-0.1","1.03","4.42"
"494",="2302","麗正","17.85","-0.05","-0.28","1.96","-6.36","-6.11","2.57","-1.49","1.12","2.85","4.73","5.53","7.82","-2.81","4.12","11.6"
"495",="6654","天正國際","42.95","+0.05","+0.12","2.22","6.81","8.81","1.55","-1.26","0.42","1.81","17.4","-0.69","4.65","-7.26","3.71","-9.38"
"496",="6197","佳必琪","69.3","-0.5","-0.72","2.7","-3.09","-3.62","2.92","3.77","2.31","2.25","-2.29","5.59","12.4","-1.26","4","9.46"
"497",="4557","永新-KY","106","+2.5","+2.42","0.24","-6.75","-4.51","2.37","-0.82","-1.71","2","0.46","6.17","8.82","-1.57","-4.81","3.27"
"498",="2349","錸德","8.51","+0.05","+0.59","2.46","-1.61","-7.37","1.75","-0.41","3.87","8.57","4.52","1.52","6.72","2.58","1.73","7.59"
"499",="5469","瀚宇博","59.3","-0.1","-0.17","2.54","3.75","0.25","1.56","0.38","3.14","5","2.49","4.3","7.95","0.02","-1.77","3.41"
"500",="8941","關中","59.7","0","0","3.05","-2.13","0.81","-1.06","8.13","0.02","1.07","1.82","7.21","7.57","-3.63","0.1","16.7"
"501",="3592","瑞鼎","349","+1.5","+0.43","1.12","-0.94","-1.42","-0.2","-0.8","0.43","0.04","4.44","5.01","5.29","-0.76","0.32","2.01"
"502",="5604","中連","45.8","0","0","394","2878","-4.96","1809","5.56","4.52","11.3","3.47","4.75","2.83","4.15","2.53","2.32"
"503",="6792","詠業","99.7","+3.7","+3.85","1.1","-1.35","-2.36","0.05","-0.19","0.68","0.16","1.54","1.91","3.45","9.2","-0.48","0.58"
"504",="6291","沛亨","209","+5.5","+2.7","2.8","0.81","5.29","3.88","3.53","1.14","2.43","4.5","4.82","8.88","-4.67","-0.66","3.65"
"505",="5220","萬達光電","28","-0.3","-1.06","0.71","-1.53","-4.39","1.07","-2.8","0.53","2.11","3.09","4.95","10.6","-6.87","-0.45","2.24"
"506",="2417","圓剛","21.1","-0.25","-1.17","2.8","0.07","-0.18","-1.03","-0.5","2.01","-2.31","5.01","1.57","8.65","-0.28","0.29","20.3"
"507",="8147","正淩","72.6","-1.8","-2.42","1.24","-0.5","-2.74","0.75","-1.28","0.52","-1.49","1.57","4.97","9.84","-2.17","-0.23","5.65"
"508",="8464","億豐","306","+1","+0.33","0.91","-2.84","-3.59","-0.35","-2.51","-0.45","-0.69","12.5","-1.01","4.1","0.23","-0.04","5.57"
"509",="3356","奇偶","46.6","-0.6","-1.27","10.2","18.4","16.5","12.4","-3.03","-4.4","10.9","14.1","-19.7","18.9","3.5","30.4","24.5"
"510",="8481","政伸","52.6","-0.2","-0.38","18.7","176","4.58","0.33","29.2","-6.16","-0.06","5.1","4.39","7.1","-2.87","0.34","5.88"
"511",="6191","精成科","61","+0.1","+0.16","2.57","2.54","-0.72","1.45","0.52","4.59","2.18","3.4","4.8","5.62","0.99","1.38","4.1"
"512",="6840","東研信超","65.1","0","0","0.71","","-4.81","","-2.78","-0.04","-0.32","3.21","2.91","4.41","4.35","-0.84","1"
"513",="6156","松上","21.2","+0.05","+0.24","1.6","-3.03","-1.52","1.01","0.65","0.2","-0.77","2.37","4.92","9.57","-2.16","-1.07","9.07"
"514",="1538","正峰","11.85","0","0","-6.82","-22","-40.1","4.33","6.14","3.31","-103","-27.8","31.7","-0.48","12.6","0.07","53"
"515",="4506","崇友","80","+0.1","+0.13","2.67","1.05","1.38","1.32","1.34","2.93","1.24","8.31","1.35","3.7","1.73","3.88","3.8"
"516",="5299","杰力","124.5","+0.5","+0.4","2.13","-1.45","-2.5","0.04","-1.78","0.22","1.92","3.46","2.13","12","-3.23","5.54","9.19"
"517",="6606","建德工業","24","-0.25","-1.03","11.3","","77.7","","1.66","5.27","5.93","7.9","0.15","2.13","5.37","5.74","1.35"
"518",="4995","晶達","44.65","+0.35","+0.79","1.33","-1.55","-0.19","0.14","-0.91","-0.26","0.64","3.36","2.89","14","-3.87","-1.1","2.73"
"519",="8034","榮群","20.2","-1.15","-5.39","3.62","0.62","3.62","1.51","4.56","7.12","0.23","7.04","4.47","6.06","1.25","5.12","1.83"
"520",="2734","易飛網","40.95","-0.1","-0.24","6.1","1.42","26.5","11.7","13.1","6.45","-2.27","1.75","5.1","5.13","1.84","1.96","0.58"
"521",="3024","憶聲","16.5","0","0","2.35","7.87","-8.85","2.53","3.37","2.06","3.65","2.12","4.71","6.25","0.18","2.73","1.57"
"522",="6680","鑫創電子","81","0","0","0.49","-5.88","-10","5.82","-6.39","0.35","-1.03","8.77","5.84","7.76","-4.5","-0.52","5.73"
"523",="1781","合世","12.65","+0.05","+0.4","12","121","0.08","11.2","-7.13","0.4","1.44","9.01","3.21","7.2","-3.28","0.15","0.93"
"524",="6835","圓裕","40.2","-0.2","-0.5","1.64","","-1.47","","-0.55","1.13","-1.2","2.69","6.92","8.48","-4.81","-1.85","7.03"
"525",="6026","福邦證","12.2","-0.1","-0.81","1.5","2.22","0.71","0.11","0.18","0.66","0.11","0.25","","4.77","2.71","0.94","3.78"
"526",="2478","大毅","46.25","-0.05","-0.11","1.03","-3.49","-3.46","0.36","-1.65","1.16","-0.29","4.25","5.7","8.74","-4.4","-0.19","5.65"
"527",="8074","鉅橡","19.35","+0.05","+0.26","1.16","-1.06","-2.29","-0.57","-2.61","-0.29","0.18","3.41","1.15","10.1","-0.93","0.31","6.52"
"528",="6612","奈米醫材","131","+0.5","+0.38","0.08","1.13","-3.58","-4.23","-3.98","-6.13","-0.97","-0.3","3.65","6.73","3.92","0.14","4.53"
"529",="5493","三聯","48.5","+0.35","+0.73","4.05","4.03","3.79","3.24","7.08","0.98","6.3","2.93","6.16","2.95","2.31","7.17","1.61"
"530",="4105","東洋","75.9","-0.3","-0.39","2.86","9.71","7.26","3.51","-17","3.91","3.32","3.92","4.57","5.12","1.2","4.11","4.71"
"531",="3289","宜特","102.5","-3.5","-3.3","1.81","1.59","1.24","0.13","1.49","3.39","-1.87","1.41","3.62","3.82","5.17","-0.04","1.83"
"532",="8103","瀚荃","40.85","+1.5","+3.81","0.8","-2.54","-3.72","1.1","-2.41","-0.3","-2.47","2.32","5.08","8.92","-3.49","-1.34","8.49"
"533",="1604","聲寶","28.35","+0.1","+0.35","12.3","68.6","1.64","2.19","2.58","53.7","-0.69","2.09","3.97","6.75","1.32","1.44","3.56"
"534",="6640","均華","115","-6","-4.96","3.6","-1.64","14.7","1.22","2.05","3.57","3.33","4.53","3.26","8.86","-2.86","-2.99","9.08"
"535",="6210","慶生","31.7","0","0","1.23","-0.84","-1.05","0.36","-1.23","0.48","-0.07","4","4.84","6.44","-2.31","0.42","3.71"
"536",="6548","長科*","35","-0.2","-0.57","2.03","0.84","-1.16","0.9","-1.8","1.62","0.42","2.34","3.64","9.64","-1.95","2.47","7.39"
"537",="8436","大江","174.5","0","0","2.97","3.64","2.78","2.41","2.67","6.39","0.96","3.82","2.45","5.37","2.37","1.51","1.27"
"538",="2228","劍麟","90.8","+1.2","+1.34","2.73","2.65","0.47","1.38","2.86","2.85","1.42","3.12","4.51","4.43","2.05","1.68","5.36"
"539",="8930","青鋼","31.25","-1.25","-3.85","0.24","-3.94","-4.96","-0.43","-5.03","-1.1","-1.52","4.54","4.85","10.9","-4.74","-0.23","4.49"
"540",="3540","曜越","39.85","-0.7","-1.73","0.91","-0.76","-0.72","-0.58","-2.7","-1.63","-1.68","6.55","2.65","9.26","-2.23","-0.1","2.9"
"541",="2485","兆赫","28.25","-0.8","-2.75","2.28","-0.42","-0.56","1.79","-1.4","2.16","3.71","4.88","2.5","7.34","-0.35","3.06","4.69"
"542",="3163","波若威","99.4","-1.1","-1.09","1.85","-6.93","-4.49","0.06","-3.76","0.89","1.86","1.49","3.2","14.7","-5.25","2.32","18.1"
"543",="3541","西柏","42.45","+0.1","+0.24","-2.2","-0.45","-2.77","-1.51","-2.56","-0.05","-1.12","3.72","3.74","9.38","-4.07","-0.63","-30.1"
"544",="1904","正隆","28.05","-0.1","-0.36","1.35","-0.08","-0.47","2.11","-0.53","2.72","-0.39","1.59","10.7","2.79","-1.64","0.29","-0.89"
"545",="3051","力特","30.15","-0.35","-1.15","6.84","-0.3","-5.46","80.6","-5.69","-1.36","-3.42","4.28","5.36","7.81","-4.97","0.5","4.73"
"546",="4581","光隆精密-KY","70.8","-1.4","-1.94","1.98","2.55","-1.44","0.28","-0.36","0.9","1","1.2","2.5","6.82","3.17","-0.31","7.46"
"547",="2481","強茂","64.7","0","0","1.85","0.7","-2.87","1.49","1.58","1.79","1.62","3.95","4.2","6.96","-1.87","1.09","3.5"
"548",="8059","凱碩","14.8","-0.05","-0.34","4.06","2.39","5.87","-1.86","-3.89","2.01","1.39","-0.35","1.28","-0.11","22.8","12.9","6.37"
"549",="4542","科嶠","68.4","-7.6","-10","0.48","-3.36","-3.25","-0.09","-3.3","0.2","-1.14","9.03","1.38","8.75","-1.07","-0.23","-1.16"
"550",="3349","寶德","17.4","-0.1","-0.57","0.56","0.92","-1.88","1.36","-1.39","0.2","0.17","3.76","5.9","6.59","-7.48","-5.53","4.12"
"551",="3191","和進","13.25","+0.15","+1.15","-9.73","-33","-91.9","-7.87","-1.22","-1.64","-5.9","14.2","4.4","13.5","-17.6","-0.09","10.4"
"552",="2488","漢平","38.15","-0.6","-1.55","3.23","3.18","0.75","3.63","0.59","1.57","1.35","9.79","1.78","3.89","0.47","9.33","2.49"
"553",="9925","新保","40","-0.05","-0.12","3.97","6.89","0.27","-0.42","2.55","11.8","-0.08","0.62","11","2.04","0.2","0.86","11.9"
"554",="8150","南茂","39.6","-0.75","-1.86","1.43","-3.14","-4.4","0.39","-0.27","2.06","4.7","3.41","4.51","7.68","-2.77","0.94","4.08"
"555",="2609","陽明","42.65","+0.15","+0.35","2.2","-1.51","-3.21","-0.64","-0.24","0.17","-0.58","3.96","4.09","4.76","-0.88","7.46","13.1"
"556",="8906","花王","17.1","+0.05","+0.29","2.22","18.3","0.82","0.1","-2.86","4.24","-0.36","16.3","-2.57","3.47","-3.89","-2.79","-4.17"
"557",="9926","新海","55.1","+0.1","+0.18","4.46","13.4","0.47","1.15","2.18","10.3","2.21","1.17","-0.38","13.1","1.41","2.01","6.58"
"558",="8923","時報","19.1","0","0","1.84","1.04","0.6","0.39","-0.99","4.05","-0.22","4.02","5.67","8.32","-3.18","0.51","1.94"
"559",="3533","嘉澤","867","-10","-1.14","1.84","-0.93","-1.48","1.56","0.18","1.03","0.64","4.05","4.58","7.88","-2.94","0.11","7.43"
"560",="2405","輔信","15.15","+1.35","+9.78","6.89","0.6","6.66","0.24","-1.45","-1.01","55.3","0.03","3.76","10.8","-1.19","1.43","7.49"
"561",="3152","璟德","214.5","-2","-0.92","1.04","-0.77","-1.71","-2.58","-0.38","1.66","-0.94","3.74","1.69","10.5","-1.73","0.46","2.47"
"562",="6279","胡連","150","+0.5","+0.33","0.88","0.1","0.23","-0.78","-1.78","0.47","0.87","3.74","-0.46","11.7","-1.63","0.68","-2.57"
"563",="6174","安碁","22.9","-0.3","-1.29","1.51","-1.91","-2.31","0.73","-1.4","3.41","3.35","2.6","6.5","6.31","-2.61","-1.67","5.09"
"564",="2455","全新","150.5","-3.5","-2.27","0.65","-2.87","-2.63","0.1","-2.31","0.04","1.78","3.32","4.94","6.86","-2.47","-1.63","2.72"
"565",="3149","正達","15.5","-0.1","-0.64","4.69","3.65","12.6","3.76","5.24","4.84","-1.86","5.74","4.25","8.86","-5.57","9.66","5.11"
"566",="6288","聯嘉","30.45","-0.1","-0.33","0.65","-1.67","-2.26","-0.16","-3.71","-0.46","-1.64","5.31","2.84","6.69","-1.33","-0.35","4.57"
"567",="3545","敦泰","73.6","-1","-1.34","2.17","1.01","0.63","1.22","6.27","-0.2","1.25","5.71","5.6","-0.6","1.14","0.83","3.19"
"568",="4989","榮科","25.8","-0.5","-1.9","0.96","-1.14","-1.41","0.33","-1.39","0.38","-0.14","4.6","3.48","7.57","-2.4","0.06","1.57"
"569",="3324","雙鴻","326.5","-13.5","-3.97","1.31","-1.42","-2.61","1.05","-1.91","1.6","0.1","2.1","4.95","8.14","-1.75","-0.4","5.81"
"570",="3305","昇貿","63.6","-2.1","-3.2","0.84","-1.28","0.39","0.2","-0.19","-0.02","0.63","9.97","0.57","2.74","-3.1","-1.42","1.62"
"571",="3615","安可","22.4","-0.15","-0.67","5.62","6.07","1.16","7.11","1.56","4.52","5.76","5.67","-7.21","10.5","5.89","10.5","16"
"572",="1452","宏益","16.55","0","0","6.29","12.3","7.34","16.1","14.8","2.01","1.55","0.74","1.39","13.1","-1.16","1.47","5.86"
"573",="8201","無敵","16.75","-0.3","-1.76","10.6","4.52","0.46","4.24","104","-3.51","0.14","3.27","3.33","6.25","-0.58","1.61","3.71"
"574",="6284","佳邦","56.6","-0.4","-0.7","1.15","-1.61","-2.59","1.03","-1.31","0.73","-0.25","3.54","4.7","9.77","-5.63","-1.32","6.78"
"575",="3178","公準","95.3","+4.6","+5.07","0.39","-2.34","-2.88","-0.52","-2.34","-0.5","-1.29","2.65","4.45","8.36","-2.37","-1.04","2.55"
"576",="5202","力新","15.75","+0.3","+1.94","38","4.8","78.2","54.9","103","12.6","71","14.5","-26.5","17.1","13.8","17.7","95.9"
"577",="1537","廣隆","132","+0.5","+0.38","1.46","-0.21","-0.86","0.96","-0.8","1.31","0.87","3.81","3.47","5.47","-0.61","0.61","3.52"
"578",="6579","研揚","152","+2","+1.33","2.81","-1.59","1.73","-0.04","-1.33","-0.55","4.97","0.02","0.86","9.5","2.43","7.97","9.7"
"579",="4116","明基醫","56.6","-0.5","-0.88","1.75","0.18","0.39","0.88","1.26","1.46","0.63","13.6","0.13","1.05","0.31","0.32","0.83"
"580",="6257","矽格","57.2","-0.6","-1.04","1.93","-0.72","-1.52","1.98","-1.28","2.34","2.26","4.09","3.69","11.1","-7.51","0.03","8.64"
"581",="4534","慶騰","9.7","-0.1","-1.02","0.45","-2.09","-3.08","-0.19","-2","0.02","-1.23","2.79","3.07","9.08","-2.51","-0.96","2.5"
"582",="5274","信驊","2535","-120","-4.52","1.42","-1.51","-3.04","0.37","-4.24","-0.78","0.11","3.79","1.2","11.8","-3.64","2.99","10.1"
"583",="4533","協易機","29.05","-1.45","-4.75","2.91","1.3","11.4","-0.27","1.11","1.41","1.69","7.77","1.7","6.15","-3.71","0.97","5.46"
"584",="8081","致新","253","+0.5","+0.2","1.23","-0.89","-1.36","-0.18","-1.49","2.1","-0.17","3.61","4.93","10.3","-7.31","-0.57","5.8"
"585",="2756","聯發國際","100","+0.9","+0.91","0.51","-0.41","-6.55","-3.15","-0.71","1.67","1.09","2.51","3.55","10.1","-4.58","-0.28","2.93"
"586",="3624","光頡","57","-0.4","-0.7","0.83","-0.29","-0.73","0.26","-2.25","-0.12","-0.18","4.96","3.26","6.76","-3.58","-0.2","2.1"
"587",="3006","晶豪科","81.1","-1.5","-1.82","1.81","0.62","1.45","1.97","-1.99","1.61","0.36","5.67","8.23","5.99","-14.7","0.15","12.4"
"588",="5287","數字","200.5","-0.5","-0.25","3.28","3.21","3.69","2.78","3.91","2.95","3.8","2.42","3.64","3.24","3.27","2.55","3.93"
"589",="1535","中宇","53.1","+0.1","+0.19","2.97","2.75","1.99","2.13","3.08","3.83","2.45","1.91","7.91","3.38","0.06","3.99","2.18"
"590",="9924","福興","42.65","+0.1","+0.24","1.16","-2.05","-3.49","0.28","-1.51","3.95","-0.45","2.66","4.62","7.72","-3.85","-0.45","6.42"
"591",="1319","東陽","69.8","+2.4","+3.56","1.77","3.06","0.04","1.71","0.93","0.45","1.73","2.4","8.64","5.53","-4.3","-1.69","2.75"
"592",="1536","和大","65.1","-0.4","-0.61","0.42","-3.05","-0.81","-1.49","-3.47","0.52","1.46","5.48","3.93","7.62","-4.81","-2.4","2.07"
"593",="6558","興能高","22.65","-0.45","-1.95","0.59","-1.09","-1.25","-0.08","-5.15","-0.46","0.22","5.15","3.57","8.73","-6.56","0.05","3.96"
"594",="6161","捷波","39.65","+1.45","+3.8","2.38","0.54","2.19","2.5","0.42","3.09","1.44","2.89","3.91","3.49","2.03","1.39","4.71"
"595",="1802","台玻","19.65","+0.15","+0.77","3.19","2.64","4.89","-0.19","1.46","1.92","13","3.71","4.02","1.33","2.94","2.91","-0.36"
"596",="6415","矽力*-KY","298.5","-11.5","-3.71","2.4","-1.78","6.4","1.06","1.77","0.71","-6.55","0.65","4.74","2.63","4.45","10.6","4.19"
"597",="6578","達邦蛋白","17.05","-0.1","-0.58","0.54","1.49","0.03","-3.41","-3.31","-0.56","0.56","9.59","0.11","8.45","-4.47","0.26","-2.31"
"598",="2636","台驊投控","73.3","+0.4","+0.55","2.9","-0.34","0.52","0.88","12.7","-3.74","0.36","0.82","8.1","2.32","0.09","2.27","10.8"
"599",="8068","全達","36.45","-0.75","-2.02","2.05","-1.05","-1.25","-0.39","-0.34","10.2","3.58","2.39","2.34","9.54","-3.88","-1.2","4.66"
"600",="5015","華祺","43.75","+0.4","+0.92","0.71","-3.25","-1.5","-0.63","-2.96","0.23","-1.12","4.76","4.37","8.08","-7.01","-1.52","9.1"
"601",="2062","橋椿","21.9","-0.05","-0.23","0.93","-3","0.63","0.14","-0.08","0.27","-1.49","-0.12","8.52","6.13","-3.48","-0.8","4.4"
"602",="5474","聰泰","108","-4","-3.57","1.28","-0.93","-0.8","-0.16","-0.49","-0.24","1.29","2.74","3.49","6.53","-0.18","0.67","3.46"
"603",="6651","全宇昕","74.5","+0.1","+0.13","0.84","-2.01","-2.06","0.21","-2.45","0.26","-0.53","5.45","5.45","6.45","-5.34","-1.75","6.45"
"604",="8049","晶采","36.85","-0.2","-0.54","2.4","-0.28","-0.41","5.87","0.58","1.37","1.22","5.36","7.21","3.84","-2.87","-0.09","7.03"
"605",="1907","永豐餘","30.65","-0.1","-0.33","2.98","9.71","1.08","0.61","1.65","4.97","1.26","0.95","2.04","8.29","0.77","1.46","2.96"
"606",="4161","聿新科","33.35","-0.3","-0.89","-0.14","-0.51","-9.94","-1.71","-5.67","-0.35","-1.52","4.26","4.28","8.4","-3.49","1.69","2.87"
"607",="2495","普安","20.2","-0.1","-0.49","6.07","1.68","1.9","19.5","-2.84","15.1","14.8","23.8","-7.91","3.96","-1.05","4.1","-0.18"
"608",="5244","弘凱","31.7","-0.2","-0.63","2.92","1.66","1.76","1.38","1.35","2.71","5.88","4.25","1.06","5.16","1.85","1.97","5.99"
"609",="4563","百德","60.3","-0.2","-0.33","-2.66","5.34","-36.9","-6.15","-1.16","-2.94","-1.12","4.25","0.58","3.92","3.39","-1.11","-0.03"
"610",="8182","加高","30.85","+0.05","+0.16","1.09","0.45","-2.83","-0.53","-0.24","1.79","-0.95","4.62","7.05","8.16","-10.1","-1.01","6.58"
"611",="3617","碩天","249","-3","-1.19","0.31","-2.21","-3.12","0.53","-0.24","0.34","-7.51","2.79","3.98","8.54","-3.86","-0.86","5.34"
"612",="8390","金益鼎","50.8","-1.6","-3.05","3.44","-2.85","-4.47","-1.57","-1.32","-0.15","2.2","0.32","5.48","4.45","1.27","5.23","32.7"
"613",="6166","凌華","63.1","-0.2","-0.32","1.07","-0.36","-3.13","-1.41","3.32","0.37","0.35","2.91","11.6","0.65","-1.99","-0.29","0.8"
"614",="1617","榮星","16.4","0","0","1.58","-1.09","-1.37","0.37","-0.87","-0.05","-0.61","2.12","2.88","7.18","0.08","3.89","6.39"
"615",="3646","艾恩特","28.35","+0.05","+0.18","0.76","-2.02","-4.21","0.64","-1.64","0.9","-1.83","0.27","3.18","6.17","1.75","-0.6","6.54"
"616",="3483","力致","142","-0.5","-0.35","1.34","-2.6","-2.59","0.23","0.67","1.1","1.23","2.04","4.41","8.31","-3.34","-1.11","7.76"
"617",="4430","耀億","22.05","+0.05","+0.23","0.44","-0.05","-2.75","0.41","-2.44","0.94","0.13","4.1","3.41","7.79","-4.72","-3.74","2.19"
"618",="3680","家登","335.5","-14.5","-4.14","10.1","96","-0.41","1.15","0.52","1.88","-1.33","1.77","8.35","4.74","-1.78","1.16","9.03"
"619",="4530","宏易","6.79","-0.09","-1.31","-6.23","-2.89","-99.4","-2.63","-4.31","16.3","15.5","2.12","1.91","4.37","3.13","-0.2","-8.65"
"620",="5398","慕康生醫","12.8","0","0","1.9","-3.64","4.84","2.06","-5.06","-3.57","6.17","-0.49","6.75","8.34","-1.95","0.26","9.15"
"621",="1268","漢來美食","146","0","0","4.17","7.27","-0.11","0.5","11.2","15.1","3.1","0.03","4.84","5.56","2.42","-0.22","0.4"
"622",="8432","東生華","46.35","+0.05","+0.11","2.17","8.13","-3.1","0.09","2.86","6.79","-3.6","1.87","2.7","7.5","0.14","0.49","2.13"
"623",="4942","嘉彰","41.85","-0.1","-0.24","2.04","0.54","-2.18","2.12","1.52","1.73","1.02","0.3","5.78","7.72","-2.66","1.33","7.27"
"624",="1709","和益","21.05","+0.05","+0.24","0.35","0.38","-0.82","0.64","0.11","1.45","-11.9","2.43","2.59","4.96","1.96","-0.37","2.78"
"625",="1810","和成","21.55","+0.6","+2.86","15","7.87","1.39","-0.26","3.32","154","0.67","6.22","3.58","0.12","1.61","0.2","1.21"
"626",="1464","得力","13.85","0","0","-0.14","-1.58","-7.22","-1.99","-3.79","-0.27","-0.73","5.11","5.02","7.64","-6.31","-1.26","3.7"
"627",="6152","百一","10.5","+0.05","+0.48","2.38","3.18","0.17","2.75","1.6","1.34","0.84","8.85","4.16","4.77","-3.29","0.2","3.96"
"628",="3537","堡達","37.85","0","0","0.56","-1.79","-2.26","-0.54","-3.03","0.04","-0.17","3.41","4.66","9.12","-4.34","-0.77","2.37"
"629",="6182","合晶","44.85","0","0","1.77","14.2","0.67","-1.52","-1.94","-1.18","-0.22","0.54","0.24","14","-4.03","-1.1","1.66"
"630",="8415","大國鋼","33.4","+0.05","+0.15","0.79","-3.87","1.14","-1.15","6.49","-2.05","-1.23","3.1","-0.87","10.1","-1.03","-2.38","1.14"
"631",="3379","彬台","12.8","+0.05","+0.39","2.33","1.3","1.92","-0.31","0.5","2.56","4.47","5.64","-0.09","2.77","4.14","1.72","3.29"
"632",="6143","振曜","74.5","-0.3","-0.4","1.59","-1.67","-0.95","0.76","-1.41","1.11","0.55","5.24","5.57","8.23","-3.54","0.6","4.54"
"633",="6719","力智","236","-0.5","-0.21","1.97","-0.25","-0.42","4","-0.29","0.1","0.16","3.96","3.13","4.53","-1.71","5.11","5.31"
"634",="6715","嘉基","127","-2","-1.55","0.41","-5.28","-3.5","0.38","-2.62","0.57","-0.1","2.01","3.86","8.36","-3.32","-2.56","7.07"
"635",="8105","凌巨","13.55","0","0","0.13","-1.23","-10.9","-2.52","-2.21","1.31","1.51","3.91","3.39","6.44","-2.05","1.1","2.82"
"636",="6538","倉和","175.5","-2","-1.13","1.09","-0.53","-3.12","1.61","-0.18","0.19","1.89","7.45","3.57","3.65","-2.87","-0.08","1.52"
"637",="5340","建榮","71.4","-0.4","-0.56","0.62","-0.76","-2.91","-0.89","-1.7","0.59","0.69","2.55","4.17","6.39","-1.13","-1.02","1.44"
"638",="3268","海德威","21.5","+0.15","+0.7","1.42","-1.16","8.29","1.64","-2.13","-0.35","-0.14","3.34","3.1","10.8","-6.44","-2.71","2.81"
"639",="4576","大銀微系統","66.8","-0.1","-0.15","0.93","-0.27","-2.26","0.27","-1.1","0.71","-1.62","2.88","3.54","3.3","1.58","2.3","1.81"
"640",="2462","良得電","35.9","-0.45","-1.24","3.05","0.24","0.26","3.76","16.2","-0.84","2.66","8.57","-1.29","6.83","-2.29","0.39","2.14"
"641",="3672","康聯訊","23.8","+0.1","+0.42","1.22","2.95","-0.45","0.62","-1.09","0.29","-0.99","3.14","1.4","6.42","-0.47","0.18","2.6"
"642",="1742","台蠟","16.65","+0.05","+0.3","29.9","-24.5","-13.3","-4.85","-2.14","0.82","419","12","13.6","10.4","-64.4","-4.5","16.4"
"643",="9914","美利達","202","+1","+0.5","9.09","16.5","14.2","14.6","10.9","15","23.2","12.4","5.89","2.92","-7","-1.46","1.93"
"644",="8924","大田","91.2","0","0","1.75","-0.43","-1.53","0.51","-0.78","0.84","-1.2","1.26","3.77","6.96","-0.33","0.92","11.1"
"645",="8289","泰藝","31.7","-0.4","-1.25","1.37","-0.5","1.05","1.03","-0.48","-0.74","0.38","2.8","4","6.46","-2.75","0.61","4.64"
"646",="6134","萬旭","20.1","+0.05","+0.25","2.15","7.99","0.59","1.32","1.54","3.06","1.05","6.64","0.01","5.78","-1.37","-1.06","0.31"
"647",="6201","亞弘電","46.4","+0.1","+0.22","0.8","-1.54","-2.59","0.17","-1.83","0.26","-0.6","3.52","4.26","6.77","-2.47","-0.45","4.12"
"648",="4109","加捷生醫","13.65","-0.3","-2.15","3.19","8.49","0.84","-0.91","1.82","6.16","2.89","1.03","4.37","2.73","3.29","2.07","5.45"
"649",="8027","鈦昇","68.9","-1.1","-1.57","0.99","-2.16","-2.06","0.59","-1.9","0.31","-0.18","2.89","2.4","9.26","-4.43","-0.26","7.45"
"650",="6546","正基","91.9","-0.1","-0.11","1.09","-1.32","-1.2","1.32","-0.58","0.82","0.67","3.76","2.81","6.14","-4.74","-0.08","5.45"
"651",="1321","大洋","35.3","+0.05","+0.14","4.82","3.63","5.07","15","-1.6","11.2","-0.14","2.72","-0.9","11.8","-1.51","6.04","6.58"
