"排名","代號","名稱","股價日期","成交","漲跌價","漲跌幅","EPS平均","EPS合計","股利平均","股利合計","2012發放年度","2013發放年度","2014發放年度","2015發放年度","2016發放年度","2017發放年度","2018發放年度","2019發放年度","2020發放年度","2021發放年度","2022發放年度","2023發放年度"
"730",="3044","健鼎","12/25","194.5","-0.5","-0.26","8.26","99.08","4.9","58.8","3.6","2.5","2.25","2.75","3.25","4.25","5.25","5.9","7.25","7.35","7","7.45"
"731","01009T","王道圓滿R1","12/25","8.03","0","0","","","0.3","1.49","","","","","","","","0.3","0.3","0.29","0.29","0.31"
"732","2882A","國泰特","12/25","59.8","+0.1","+0.17","","","1.98","13.83","","","","","","0.15","2.28","2.28","2.28","2.28","2.28","2.28"
"733",="3665","貿聯-KY","12/25","260","+2","+0.78","11.71","128.8","6.49","77.87","2","3.5","4.99","4.97","5.4","6.31","6.83","7.5","9","8.02","9.45","9.89"
"734","00679B","元大美債20年","12/25","30.79","-0.2","-0.65","","","0.96","6.68","","","","","","0.74","0.98","1.05","0.76","0.87","1.12","1.17"
"735",="6416","瑞祺電通","12/25","94.8","-0.2","-0.21","4.75","52.3","3.25","35.7","","2","2","3","4.6","5","3.53","3.5","2.82","3.64","2","3.6"
"736",="4558","寶緯","12/25","26.35","+0.25","+0.96","1.57","14.16","1.06","9.5","","","","0.5","0.5","1","1","1","0.5","1","3","1"
"737",="6840","東研信超","12/25","71.9","-0.1","-0.14","4.38","13.13","2.11","6.33","","","","","","","","","","1","2.6","2.73"
"738",="8476","台境","12/25","56.8","-0.4","-0.7","-0.41","-3.68","0.41","3.67","","","","0.87","0.1","0.55","0","0","0","0","0","2.15"
"739",="4183","福永生技","12/25","25.9","-0.05","-0.19","0.68","7.46","0.59","6.48","","0.6","0.1","0","0.4","0.8","0.3","0.7","0.7","1.2","0.7","0.98"
"740","2891B","中信金乙特","12/25","59.5","0","0","","","1.88","11.29","","","","","","","0.04","2.25","2.25","2.25","2.25","2.25"
"741",="8438","昶昕","12/25","26.45","+0.2","+0.76","0.56","6.78","0.5","6.04","0.5","0","0","0.3","0.23","0.33","0","0.58","0.2","0.9","2","1"
"742",="2313","華通","12/25","71.5","-0.6","-0.83","2.64","31.71","1.08","12.9","0.5","0.5","0.5","0.6","1","0.6","1.2","0.8","1.2","1.5","1.8","2.7"
"743",="2850","新產","12/25","67.4","-0.6","-0.88","4.28","51.42","1.82","21.78","1.47","1.2","1","1.07","1.57","1.51","1.82","2.65","1.8","1.95","3.2","2.54"
"744",="4770","上品","12/25","318.5","-2","-0.62","12.86","51.43","7.08","28.3","","","","","","","","","4","4.3","8","12"
"745",="6266","泰詠","12/25","31.85","-0.2","-0.62","1.44","17.32","0.84","10.07","0.31","0.14","0.29","0.48","0.8","0.68","1.16","1.71","1.58","1.03","0.69","1.2"
"746",="3527","聚積","12/25","106.5","0","0","6.3","75.54","4.75","57.01","8.3","7.8","4","4.5","3.5","3.5","2.27","5","4.15","2","8","4"
"747",="9914","美利達","12/25","186.5","+5.5","+3.04","9.21","110.5","5.21","62.5","3","5.5","6","6.8","5.5","4","2","3.5","4.2","7","8","7"
"748",="1722","台肥","12/25","66.8","-0.6","-0.89","2.49","29.92","2.29","27.5","2.3","2.7","2","2.2","2.1","2.1","2.1","2.2","2.2","2.3","2.8","2.5"
"749",="6183","關貿","12/25","66.9","-0.1","-0.15","1.79","21.48","1.49","17.88","1.01","1.01","1.07","1.1","1.2","1.22","1.5","1.66","1.75","1.81","2.05","2.5"
"750",="6916","華凌","12/25","28.7","+0.05","+0.17","5.73","5.73","1.07","1.07","","","","","","","","","","","","1.07"
"751",="1904","正隆","12/25","29.5","-0.3","-1.01","1.83","21.91","0.9","10.75","0.3","0.6","0.6","0.35","0.6","0.5","0.7","1.1","1.2","1.8","1.9","1.1"
"752",="2002","中鋼","12/25","26.85","+0.1","+0.37","1.18","14.21","0.94","11.24","1.01","0.4","0.7","1","0.5","0.85","0.88","1","0.5","0.3","3.1","1"
"753",="2645","長榮航太","12/25","107.5","-1.5","-1.38","3.49","6.98","3","6","","","","","","","","","","","2","4"
"754",="4581","光隆精密-KY","12/25","67.2","-0.6","-0.88","2.72","10.87","2.25","9","","","","","","","","","3","2","1.5","2.5"
"755","00844B","新光15年IG金融債","12/25","32.95","-0.24","-0.72","","","1.07","5.37","","","","","","","","0.32","1.22","1.48","1.12","1.23"
"756","00697B","元大美債7-10","12/25","35.54","-0.03","-0.08","","","0.81","4.86","","","","","","","0.25","1.27","0.42","0.58","1.01","1.32"
"757",="8390","金益鼎","12/25","50.7","+0.1","+0.2","1.33","15.95","0.88","10.58","1.76","0.85","0.1","0.2","0.2","0.2","0.3","0.45","1.24","1.6","1.8","1.88"
"758",="8072","陞泰","12/25","27.05","-0.1","-0.37","2.14","25.65","3.31","39.68","7","7","20","1.43","1","0.5","0.5","0.5","0.2","0.2","0.35","1"
"759",="6109","亞元","12/25","14.85","+0.1","+0.68","0.28","3.35","0.35","4.15","0","0","0","0.8","1.2","1","0.5","0.1","0","0","0","0.55"
"760",="6217","中探針","12/25","40.65","+0.4","+0.99","2.11","25.37","1.23","14.77","0.1","0.6","0.68","1.75","2.4","1.7","1.6","0.7","1.03","1.05","1.67","1.5"
"761",="2752","豆府","12/25","271.5","+0.5","+0.18","8.27","41.35","6.74","33.7","","","","","","","","5","5.2","9","4.5","10"
"762",="6791","虎門科技","12/25","86.4","-1.8","-2.04","3.79","11.38","3.26","9.79","","","","","","","","","","3.15","3.46","3.18"
"763",="4953","緯軟","12/25","136","0","0","3.74","44.86","2.02","24.22","0","0","0.6","1.5","1.02","1.1","0.5","1.7","3.23","4.98","4.59","5"
"764",="4137","麗豐-KY","12/25","190.5","+0.5","+0.26","11.57","127.3","8.62","94.79","","4.2","6.5","7","10","6.5","8.04","12","13.05","8.5","12","7"
"765",="3036","文曄","12/25","117","+1","+0.86","5.35","64.23","2.92","35.05","2.7","2.1","2.5","3","2.9","2.4","2.5","2.35","2.09","3.2","5.01","4.3"
"766","2836A","高雄銀甲特","12/25","21.1","-0.1","-0.47","","","0.76","1.53","","","","","","","","","","","0.75","0.78"
"767",="6751","智聯服務","12/25","81.7","-0.3","-0.37","3.06","12.25","2.31","9.25","","","","","","","","","2.05","2.1","2.1","3"
"768",="9926","新海","12/25","54.5","+0.5","+0.93","1.97","23.63","1.52","18.3","1.2","1.2","1.2","1.2","1.3","1.6","1.6","1.5","1.7","1.8","2","2"
